Boehner,0.032482320179977896,0.006387083247926802,432.0,50.0,241.0,-191.0,", Election of the Speaker"
Failed,-0.03221714012286578,-0.0068373925321103535,-424.0,-46.0,-235.0,189.0,"To reduce Federal spending and the deficit by terminating taxpayer financing of presidential election campaigns and party conventions and by terminating the Election Assistance Commission, On Motion to Recommit with Instructions"
Passed,0.03215445706543869,0.006838718791401049,424.0,44.0,234.0,-190.0,"To reduce Federal spending and the deficit by terminating taxpayer financing of presidential election campaigns and party conventions and by terminating the Election Assistance Commission, On Passage"
Failed,-0.03125557825322379,-0.0020764640108297183,-393.0,-71.0,-232.0,161.0,", On Agreeing to the Amendment"
Failed,-0.03147694677624678,-0.0011351796252317384,-393.0,-77.0,-235.0,158.0,", On Agreeing to the Amendment"
Failed,-0.03157560839801539,-0.003336365034261377,-398.0,-64.0,-231.0,167.0,", On Agreeing to the Amendment"
Failed,-0.03047794513639337,-0.0005945104729430401,-374.0,-78.0,-226.0,148.0,", On Agreeing to the Amendment"
Failed,-0.03142114361173149,-0.0005677101759120238,-388.0,-80.0,-234.0,154.0,", On Agreeing to the Amendment"
Failed,-0.03170530510741965,-0.006676591166175464,-417.0,-45.0,-231.0,186.0,"To amend chapter 6 of title 5, United States Code (commonly known as the Regulatory Flexibility Act), to ensure complete analysis of potential impacts on small entities of rules, and for other purposes, On Motion to Recommit with Instructions"
Passed,0.030334631162019014,-0.00404005722254585,367.0,103.0,235.0,-132.0,"To amend chapter 6 of title 5, United States Code (commonly known as the Regulatory Flexibility Act), to ensure complete analysis of potential impacts on small entities of rules, and for other purposes, On Passage"
Passed,0.007110078932449498,-0.05777806270817385,47.0,419.0,233.0,186.0,"Designating room HVC 215 of the Capitol Visitor Center as the “Gabriel Zimmerman Meeting Room”, On Motion to Suspend the Rules and Agree"
Failed,-0.031336912712830955,-0.006410193008647292,-403.0,-45.0,-224.0,179.0,", On Agreeing to the Amendment"
Failed,-0.030674897585479626,0.001260788085565363,-372.0,-88.0,-230.0,142.0,", On Agreeing to the Amendment"
Failed,-0.031191100782104287,-0.002002320783653463,-389.0,-71.0,-230.0,159.0,", On Agreeing to the Amendment"
Failed,-0.03152679332805036,-0.00173603507127347,-391.0,-73.0,-232.0,159.0,", On Agreeing to the Amendment"
Failed,-0.03147845208678084,-0.0018794149120823311,-392.0,-72.0,-232.0,160.0,", On Agreeing to the Amendment"
Failed,-0.031561142122254374,-0.00641697045863634,-409.0,-47.0,-228.0,181.0,"Regulatory Accountability Act, On Motion to Recommit with Instructions"
Passed,0.03117275357642533,-0.0006180301776741761,383.0,85.0,234.0,-149.0,"Regulatory Accountability Act, On Passage"
Passed,0.031878212988784245,0.006155311373276704,418.0,52.0,235.0,-183.0,"Providing for consideration of the bill (H.R. 10) to amend chapter 8 of title 5, United States Code, to provide that major rules of the executive branch shall have no force or effect unless a joint resolution of approval is enacted into law, and for other purposes., On Ordering the Previous Question"
Passed,0.031567655720244586,0.00529603278247095,405.0,55.0,230.0,-175.0,"Providing for consideration of the bill (H.R. 10) to amend chapter 8 of title 5, United States Code, to provide that major rules of the executive branch shall have no force or effect unless a joint resolution of approval is enacted into law, and for other purposes., On Agreeing to the Resolution"
Passed,0.021885094181220813,-0.019751148566776358,253.0,187.0,220.0,-33.0,"To amend section 2710 of title 18, United States Code, to clarify that a video tape service provider may obtain a consumer’s informed, written consent on an ongoing basis and that consent may be obtained through the Internet, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.007283175318572605,-0.05780496726545517,49.0,419.0,234.0,185.0,"To authorize appropriations for fiscal year 2012 for military activities of the Department of Defense and for military construction, to prescribe military personnel strengths for fiscal year 2012, and for other purposes., On Motion to Instruct Conferees"
Passed,0.009572196931706115,-0.053960334711907795,77.0,389.0,233.0,156.0,"To authorize appropriations for fiscal year 2012 for military activities of the Department of Defense and for military construction, to prescribe military personnel strengths for fiscal year 2012, and for other purposes., On Motion to Close Portions of Conference"
Passed,0.005782434585125398,-0.05616043281972325,32.0,396.0,214.0,182.0,"Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2012, and for other purposes, On Motion to Instruct Conferees"
Failed,-0.03170395319699662,-0.0063859302687876915,-411.0,-49.0,-230.0,181.0,", On Agreeing to the Amendment"
Failed,-0.030380891940731233,-0.005027120984684373,-399.0,-55.0,-227.0,172.0,", On Agreeing to the Amendment"
Failed,-0.031644587472627175,-0.0029622714891923826,-403.0,-69.0,-236.0,167.0,", On Agreeing to the Amendment"
Failed,-0.031361429571565076,-0.0036343878879279124,-405.0,-65.0,-235.0,170.0,", On Agreeing to the Amendment"
Failed,-0.031809646475137295,-0.004946281045268342,-411.0,-57.0,-234.0,177.0,", On Agreeing to the Amendment"
Failed,-0.03146458915872625,-0.006028311450370634,-414.0,-52.0,-233.0,181.0,"To amend chapter 8 of title 5, United States Code, to provide that major rules of the executive branch shall have no force or effect unless a joint resolution of approval is enacted into law, On Motion to Recommit with Instructions"
Passed,0.03225376251907959,0.0051856529132617455,418.0,56.0,237.0,-181.0,"To amend chapter 8 of title 5, United States Code, to provide that major rules of the executive branch shall have no force or effect unless a joint resolution of approval is enacted into law, On Passage"
Passed,0.03143071521972045,0.003135027503417047,402.0,68.0,235.0,-167.0,"Providing for consideration of H.R. 1633, the Farm Dust Regulation Prevention Act of 2011, On Ordering the Previous Question"
Passed,0.030436307764009626,-0.0009616330190800313,376.0,88.0,232.0,-144.0,"Providing for consideration of H.R. 1633, the Farm Dust Regulation Prevention Act of 2011, On Agreeing to the Resolution"
Passed,0.017587575002331712,-0.02899326232242144,189.0,219.0,204.0,15.0,"Synthetic Drug Control Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.008561932328644054,-0.029786264322647416,92.0,218.0,155.0,63.0,", On Approving the Journal"
Failed,-0.02933867895650537,0.004535126549443314,-351.0,-105.0,-228.0,123.0,", On Agreeing to the Amendment"
Failed,-0.030008309698967593,0.0021409231943050125,-363.0,-91.0,-227.0,136.0,", On Agreeing to the Amendment"
Failed,-0.03070224189086857,0.0004209399217610264,-378.0,-84.0,-231.0,147.0,", On Agreeing to the Amendment"
Failed,-0.029903515413213018,0.003142637828736082,-361.0,-99.0,-230.0,131.0,", On Agreeing to the Amendment"
Failed,-0.02976867566172812,-0.00043859135621422836,-365.0,-77.0,-221.0,144.0,", On Agreeing to the Amendment"
Failed,-0.03125984946946459,0.0006102721405002268,-384.0,-86.0,-235.0,149.0,"To establish a temporary prohibition against revising any national ambient air quality standard applicable to coarse particulate matter, to limit Federal regulation of nuisance dust in areas in which such dust is regulated under State, tribal, or local law, and for other purposes, On Motion to Recommit with Instructions"
Passed,0.029568099191883072,-0.006419590180568233,353.0,117.0,235.0,-118.0,"To establish a temporary prohibition against revising any national ambient air quality standard applicable to coarse particulate matter, to limit Federal regulation of nuisance dust in areas in which such dust is regulated under State, tribal, or local law, and for other purposes, On Passage"
