"BUSH, George Walker",republican,-0.0026674294728530334,0.005810502186510802
"CALLAHAN, Herbert Leon (Sonny)",republican,-0.05471414770878691,0.03211749191152091
"CRAMER, Robert E. (Bud), Jr.",democrat,-0.05179370719610721,-0.02761021262616059
"EVERETT, Robert Terry",republican,-0.05620204949163784,0.03839702484235793
"BACHUS, Spencer T., III",republican,-0.05945867874192366,0.03369123075524327
"HILLIARD, Earl Frederick",democrat,-0.02252096629503852,-0.05904277488986364
"RILEY, Robert",republican,-0.0422090694697814,0.03433226962352247
"ADERHOLT, Robert",republican,-0.052844753409349146,0.035352867632472404
"YOUNG, Donald Edwin",republican,-0.049209827931307244,0.033030461573051076
"STUMP, Robert Lee",republican,-0.049665238425683836,0.03341225550568802
"KOLBE, James Thomas",republican,-0.05968607562697041,0.027536674458651437
"FLAKE, Jeff",republican,-0.039860387025366345,0.04002524876454469
"PASTOR, Ed",democrat,-0.03744644143652332,-0.0642419671240447
"SHADEGG, John B.",republican,-0.0534089264570049,0.041791079731590325
"HAYWORTH, John D., Jr.",republican,-0.05854066249670466,0.040599836528864466
"BOOZMAN, John",republican,-0.034079347180315696,0.019919960433822322
"ROSS, Michael Avery",democrat,-0.04801525962679821,-0.04563056831101431
"BERRY, Robert Marion",democrat,-0.039398685101572475,-0.044849056410282924
"SNYDER, Victor F.",democrat,-0.041505516437476866,-0.051874354595804036
"HUTCHINSON, Asa",republican,-0.016808011950913974,0.010542831858414824
"STARK, Fortney Hillman (Pete), Jr.",democrat,-0.015779242699557827,-0.06202795108603251
"MILLER, George",democrat,-0.01803433452693897,-0.06517688644866332
"WAXMAN, Henry Arnold",democrat,-0.03181680471001615,-0.06593026116476763
"DIXON, Julian Carey",democrat,0.0,0.0
"LEWIS, Charles Jeremy (Jerry)",republican,-0.0578542466188639,0.031395251934788274
"MATSUI, Robert T.",democrat,-0.0365038375322085,-0.06734388221132909
"THOMAS, William Marshall",republican,-0.0600880542325655,0.030262088513754427
"DREIER, David Timothy",republican,-0.06184484178575469,0.0334929435107703
"HUNTER, Duncan Lee",republican,-0.057280855290118865,0.03494142000654843
"LANTOS, Thomas Peter",democrat,-0.034792700287485455,-0.06537757356997152
"BERMAN, Howard Lawrence",democrat,-0.03315205008211145,-0.0634043314420459
"GALLEGLY, Elton W.",republican,-0.06044073847387478,0.033947816302415355
"HERGER, Walter William (Wally)",republican,-0.057320768870065375,0.038660334276538484
"PELOSI, Nancy",democrat,-0.03067027832085656,-0.07072105359072897
"COX, Charles Christopher",republican,-0.05351133373422037,0.035819151165999374
"ROHRABACHER, Dana",republican,-0.053715649428726656,0.038175183607627144
"CONDIT, Gary Adrian",democrat,-0.03360656426122906,-0.046412306156923724
"HONDA, Mike",democrat,-0.02872032007956118,-0.06963040581396038
"SCHIFF, Adam",democrat,-0.04156169154630737,-0.061048446502499354
"SOLIS, Hilda L.",democrat,-0.02922447164001603,-0.07135400381772598
"WATSON, Diane Edith",democrat,-0.026040638959309397,-0.05568318421937572
"ISSA, Darrell",republican,-0.0619878599246605,0.03255193993677556
"DAVIS, Susan A.",democrat,-0.04020857142193289,-0.06422978432178966
"DOOLITTLE, John Taylor",republican,-0.05681970011028,0.038112031918751364
"DOOLEY, Calvin M.",democrat,-0.042401983355551044,-0.04025168650730518
"WATERS, Maxine",democrat,-0.011315082478500387,-0.0640100279482844
"CUNNINGHAM, Randall (Duke)",republican,-0.061980400765556734,0.03427268556374827
"WOOLSEY, Lynn C.",democrat,-0.02871883277301783,-0.07099016366672066
"POMBO, Richard William",republican,-0.056380780948103115,0.03869092055300013
"ESHOO, Anna Georges",democrat,-0.038023285635368075,-0.06465727694586007
"FARR, Sam",democrat,-0.03371124243153553,-0.07072236315219603
"McKEON, Howard P. (Buck)",republican,-0.06333570996085222,0.034761375470764515
"BECERRA, Xavier",democrat,-0.027334949140004203,-0.06592150606458919
"ROYBAL-ALLARD, Lucille",democrat,-0.033884168056249435,-0.07031243066685153
"HARMAN, Jane L.",democrat,-0.04066100926341865,-0.054592856049533005
"HORN, John Stephen (Steve)",republican,-0.06005536293076297,0.01696938700260406
"ROYCE, Edward Randall",republican,-0.05109063809692919,0.03995626501006103
"CALVERT, Ken",republican,-0.061723924042663206,0.03484388609897585
"FILNER, Bob",democrat,-0.011020090668397726,-0.06819051614112712
"LOFGREN, Zoe",democrat,-0.03519997625490496,-0.06288481605094269
"RADANOVICH, George P.",republican,-0.05710917250424353,0.0344211392305236
"MILLENDER-McDONALD, Juanita",democrat,-0.03381759046984121,-0.06604889556795679
"TAUSCHER, Ellen O'Kane",democrat,-0.042095055195574,-0.05875946504729342
"SHERMAN, Brad",democrat,-0.03740388627548461,-0.06619994721733391
"SANCHEZ, Loretta",democrat,-0.030433057257021497,-0.06183155270896941
"CAPPS, Lois",democrat,-0.03920908949302806,-0.06628069966510171
"BONO, Mary",republican,-0.059536110192421714,0.02834320239356571
"LEE, Barbara",democrat,-0.0225720642531314,-0.0694783237898398
"THOMPSON, Michael",democrat,-0.02973634936428453,-0.06044961362985555
"OSE, Doug",republican,-0.060172071421935605,0.02465364802251584
"NAPOLITANO, Grace Flores",democrat,-0.034838600118140654,-0.06890984359497891
"MILLER, Gary G.",republican,-0.058477578738070045,0.03884997565573743
"BACA, Joe",democrat,-0.04094801780705762,-0.06362976076910817
"HEFLEY, Joel M.",republican,-0.043990392217619134,0.03518581623596875
"McINNIS, Scott",republican,-0.05753499492760566,0.033270369102189466
"DeGETTE, Diana",democrat,-0.029289326273919454,-0.06815416626930383
