,-1.8738830254652465e-17,-7.634795395746651e-18,0.0,0.0,0.0,0.0,", "
,1.387870679992979e-16,1.3420845761602886e-15,0.0,0.0,0.0,0.0,", "
,-1.224325827358828e-15,-2.674102957545703e-16,0.0,0.0,0.0,0.0,", "
,2.7154890481391184e-17,1.5700160285544292e-16,0.0,0.0,0.0,0.0,", "
,-1.5395141867256012e-16,-7.316750380130838e-17,0.0,0.0,0.0,0.0,", "
,5.4612862016473745e-17,-1.6456470484544925e-17,0.0,0.0,0.0,0.0,", "
,-1.6978829394151448e-16,2.058327677668704e-16,0.0,0.0,0.0,0.0,", "
,-3.3914052950800126e-17,-1.6163569589892318e-16,0.0,0.0,0.0,0.0,", "
,8.614520125530302e-17,2.1482054449960765e-17,0.0,0.0,0.0,0.0,", "
,1.0362052597430941e-16,9.251241617245372e-17,0.0,0.0,0.0,0.0,", "
,-1.550290061453193e-17,-4.162282920385599e-17,0.0,0.0,0.0,0.0,", "
,5.795067010252454e-17,-2.8107000414460235e-17,0.0,0.0,0.0,0.0,", "
,-9.019342081226434e-17,2.6163191005221633e-17,0.0,0.0,0.0,0.0,", "
,2.022464313815358e-18,6.932228146393629e-17,0.0,0.0,0.0,0.0,", "
,-5.075782418934178e-17,5.361257395563556e-17,0.0,0.0,0.0,0.0,", "
,-1.7157886683647905e-17,2.5578980585192162e-17,0.0,0.0,0.0,0.0,", "
,6.670907793194207e-17,1.8881434616588223e-17,0.0,0.0,0.0,0.0,", "
,3.981703542130172e-18,3.510152497789448e-17,0.0,0.0,0.0,0.0,", "
,5.560710419968099e-17,2.3844792905036246e-17,0.0,0.0,0.0,0.0,", "
,-2.7944368873714276e-17,-3.481622490221009e-17,0.0,0.0,0.0,0.0,", "
,1.4370726751288446e-17,1.9079565690184712e-17,0.0,0.0,0.0,0.0,", "
,5.567324192220469e-17,1.326045873749248e-16,0.0,0.0,0.0,0.0,", "
,-9.290616746915723e-18,-1.1786560048895876e-17,0.0,0.0,0.0,0.0,", "
,-7.073470501269255e-17,-1.9294352383713047e-17,0.0,0.0,0.0,0.0,", "
,7.995074448693585e-18,-2.910089163556657e-17,0.0,0.0,0.0,0.0,", "
,-3.613828338481911e-17,-4.404459766991303e-18,0.0,0.0,0.0,0.0,", "
,-6.058504107270158e-17,6.846135383048446e-17,0.0,0.0,0.0,0.0,", "
,-4.9585018924008255e-18,3.798098747830767e-18,0.0,0.0,0.0,0.0,", "
,2.8378197270580966e-17,-5.628689508633638e-17,0.0,0.0,0.0,0.0,", "
,5.5660708711760786e-18,-1.746392320405911e-17,0.0,0.0,0.0,0.0,", "
,-1.7950635984851308e-17,3.577675474242853e-17,0.0,0.0,0.0,0.0,", "
,1.8415288250459366e-17,1.8523260236965482e-17,0.0,0.0,0.0,0.0,", "
,1.6197556080079326e-18,4.516768937645726e-18,0.0,0.0,0.0,0.0,", "
,1.807385481462503e-18,-3.6645188627909464e-19,0.0,0.0,0.0,0.0,", "
,-5.117760088866178e-18,-1.8430967413777644e-18,0.0,0.0,0.0,0.0,", "
,3.480898394737425e-18,-4.362993999763647e-18,0.0,0.0,0.0,0.0,", "
,-1.498804324922175e-18,6.8902706266819024e-18,0.0,0.0,0.0,0.0,", "
,3.63117551429327e-18,1.0181108143671496e-18,0.0,0.0,0.0,0.0,", "
,-1.7683252390007773e-18,3.8917021921458136e-19,0.0,0.0,0.0,0.0,", "
,-3.997596753197576e-19,-2.7869550359657498e-18,0.0,0.0,0.0,0.0,", "
,-1.4501259177223798e-17,-1.3591694073682442e-18,0.0,0.0,0.0,0.0,", "
,4.184723175768074e-18,1.1420380967120042e-18,0.0,0.0,0.0,0.0,", "
,-5.2288437024611935e-18,4.8803513303905455e-18,0.0,0.0,0.0,0.0,", "
,-1.0786742252732537e-18,1.2586526944319505e-17,0.0,0.0,0.0,0.0,", "
,-2.7941845366656012e-18,-3.374877573086617e-18,0.0,0.0,0.0,0.0,", "
,-9.067611770699633e-18,-1.8332627847341213e-18,0.0,0.0,0.0,0.0,", "
,1.963657738925959e-18,-1.1665123784601042e-17,0.0,0.0,0.0,0.0,", "
,-8.154903779806315e-18,4.9646574997535305e-18,0.0,0.0,0.0,0.0,", "
,-5.460058029172849e-18,2.940832355305012e-18,0.0,0.0,0.0,0.0,", "
,-1.6934792743473914e-19,-1.3128814196052884e-18,0.0,0.0,0.0,0.0,", "
,7.657303628232382e-18,-3.721373797147177e-18,0.0,0.0,0.0,0.0,", "
,4.3907207203251955e-18,-1.2663264589346479e-17,0.0,0.0,0.0,0.0,", "
,1.387710660486142e-18,8.099163878363173e-19,0.0,0.0,0.0,0.0,", "
,-3.610374998930455e-18,2.0053841559871624e-18,0.0,0.0,0.0,0.0,", "
,-1.8644477411999327e-18,-1.1491304813508959e-18,0.0,0.0,0.0,0.0,", "
,6.785587305410762e-18,-2.5978714331998054e-19,0.0,0.0,0.0,0.0,", "
,-1.755250950313704e-18,5.816149865822533e-18,0.0,0.0,0.0,0.0,", "
,3.169624086795407e-18,-8.936665902334343e-19,0.0,0.0,0.0,0.0,", "
,7.010894727106283e-19,1.1389677981751568e-18,0.0,0.0,0.0,0.0,", "
,0.0,0.0,0.0,0.0,0.0,0.0,", "
,-4.246939016568553e-18,-4.887551460412208e-18,0.0,0.0,0.0,0.0,", "
,2.524965961177916e-18,1.948712659465792e-18,0.0,0.0,0.0,0.0,", "
,-1.996383324146184e-18,-7.344395271936245e-18,0.0,0.0,0.0,0.0,", "
,-1.2216458359079341e-18,-8.340731537026781e-18,0.0,0.0,0.0,0.0,", "
