Upper,left
,-0.034350565912990676,-0.04276420917840624,411.0,-65.0,173.0,-238.0,", "
,-0.03291159531622674,-0.03759305231767697,322.0,-76.0,123.0,-199.0,", "
,-0.03265916481507366,-0.04467718255925387,382.0,-52.0,165.0,-217.0,", "
,-0.03137745904996117,-0.03878186546300865,333.0,-67.0,133.0,-200.0,", "
,-0.03080970905211076,-0.045184977195294136,340.0,-42.0,149.0,-191.0,", "
,-0.03492951862770634,-0.041500218329133594,360.0,-74.0,143.0,-217.0,", "
,-0.03445567090243572,-0.04238057721566543,376.0,-66.0,155.0,-221.0,", "
,-0.03498872719786455,-0.041287912517369615,357.0,-73.0,142.0,-215.0,", "
,-0.03528947706778719,-0.03960365061125178,377.0,-81.0,148.0,-229.0,", "
,-0.03182854443925142,-0.036616116921112656,298.0,-72.0,113.0,-185.0,", "
,-0.03184752729707049,-0.03769360274812528,304.0,-68.0,118.0,-186.0,", "
,-0.030622013752875658,-0.04139593068669954,377.0,-47.0,165.0,-212.0,", "
,-0.03355202831550359,-0.04620457947745309,400.0,-52.0,174.0,-226.0,", "
,-0.03303461171422288,-0.0436290530728009,349.0,-57.0,146.0,-203.0,", "
,-0.030320437902208806,-0.03652758413198187,282.0,-64.0,109.0,-173.0,", "
,-0.02964672884140569,-0.0425685393832034,326.0,-42.0,142.0,-184.0,", "
,-0.036196223484177004,-0.03748715450002609,361.0,-95.0,133.0,-228.0,", "
,-0.03667215562766203,-0.038751612061453077,382.0,-94.0,144.0,-238.0,", "
,-0.03174357469115816,-0.044033871061414626,364.0,-46.0,159.0,-205.0,", "
,-0.03528844169674875,-0.0419021741605793,384.0,-74.0,155.0,-229.0,", "
,-0.033825773777439345,-0.03995329505790646,368.0,-74.0,147.0,-221.0,", "
,-0.03540852568178856,-0.039758676329433404,399.0,-85.0,157.0,-242.0,", "
,-0.03179404240851808,-0.04432219757940958,367.0,-47.0,160.0,-207.0,", "
,-0.031879480558958305,-0.037861880509881624,342.0,-64.0,139.0,-203.0,", "
,-0.03422231130606234,-0.041580465175975176,401.0,-67.0,167.0,-234.0,", "
,-0.030940677098257794,-0.037517042390015624,298.0,-64.0,117.0,-181.0,", "
,-0.03247227515743459,-0.041887024770816315,353.0,-61.0,146.0,-207.0,", "
,-0.03677652269415826,-0.042934220285715086,406.0,-78.0,164.0,-242.0,", "
,-0.03340478122573819,-0.040308175413157975,391.0,-67.0,162.0,-229.0,", "
,-0.0373240880016465,-0.038125482712473485,364.0,-98.0,133.0,-231.0,", "
Lower,left
Lower,right
Upper,right
