Pelosi,0.04200070764969961,0.0187862424013992,-406.0,10.0,-198.0,208.0,", Election of the Speaker"
Passed,0.04348927677789819,0.013038932520994835,-414.0,46.0,-184.0,230.0,"Providing for further consideration of the bill (H.R. 2740) Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2020, On Ordering the Previous Question"
Passed,0.04413068257060067,0.013829014372123739,-421.0,43.0,-189.0,232.0,"Providing for further consideration of the bill (H.R. 2740) Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2020, On Agreeing to the Resolution"
Failed,-0.04337096028859486,-0.014746115684081806,414.0,-36.0,189.0,-225.0,", On Agreeing to the Amendment"
Failed,-0.043357295775168836,-0.014536164405263476,414.0,-38.0,188.0,-226.0,", On Agreeing to the Amendment"
Agreed to,0.017270775906869578,-0.06011640179737724,-80.0,376.0,148.0,228.0,", On Agreeing to the Amendment"
Agreed to,0.02587445375640555,-0.041477983092202055,-175.0,287.0,56.0,231.0,", On Agreeing to the Amendment"
Agreed to,0.03103581811689591,0.0009786125322444575,-282.0,66.0,-108.0,174.0,", On Agreeing to the Amendment"
Agreed to,0.0287088861450693,-0.03388837595635171,-213.0,247.0,17.0,230.0,", On Agreeing to the Amendment"
Agreed to,0.040033029663819567,0.0009283965264878833,-354.0,94.0,-130.0,224.0,", On Agreeing to the Amendment"
Agreed to,0.025435224565848093,-0.042057532401913164,-174.0,290.0,58.0,232.0,", On Agreeing to the Amendment"
Agreed to,0.028122089716570597,-0.03626833127516262,-204.0,256.0,26.0,230.0,", On Agreeing to the Amendment"
Agreed to,0.015236784383326256,-0.06410785411164852,-60.0,404.0,172.0,232.0,", On Agreeing to the Amendment"
Agreed to,0.02623098221044798,-0.04230617507772212,-178.0,286.0,54.0,232.0,", On Agreeing to the Amendment"
Agreed to,0.01653279805396394,-0.06197618242674981,-73.0,391.0,159.0,232.0,", On Agreeing to the Amendment"
Agreed to,0.017390004536158268,-0.06157717161804263,-80.0,384.0,152.0,232.0,", On Agreeing to the Amendment"
Agreed to,0.02750184569334774,-0.03945134748362169,-193.0,271.0,39.0,232.0,", On Agreeing to the Amendment"
Agreed to,0.02270545012616855,-0.050111352167281235,-138.0,326.0,94.0,232.0,", On Agreeing to the Amendment"
Agreed to,0.014363743788099596,-0.06596539334130043,-50.0,414.0,182.0,232.0,", On Agreeing to the Amendment"
Agreed to,0.020860596597515386,-0.05456460906291911,-118.0,346.0,114.0,232.0,", On Agreeing to the Amendment"
Agreed to,0.044170978950126207,0.013158466536636593,-418.0,46.0,-186.0,232.0,", On Agreeing to the Amendment"
Failed,-0.043836350287135006,-0.012627299092946612,415.0,-49.0,183.0,-232.0,", On Agreeing to the Amendment"
Failed,-0.040158898890447804,0.0009291473605669773,354.0,-106.0,124.0,-230.0,", On Agreeing to the Amendment"
Agreed to,0.018162911239632484,-0.060026014596536136,-88.0,376.0,144.0,232.0,", On Agreeing to the Amendment"
Agreed to,0.02595519672468787,-0.04131434368319058,-178.0,286.0,54.0,232.0,", On Agreeing to the Amendment"
Agreed to,0.024048614877660558,-0.0458989875033574,-156.0,304.0,74.0,230.0,", On Agreeing to the Amendment"
Failed,-0.03953450242973495,0.0049720911470252736,343.0,-121.0,111.0,-232.0,", On Agreeing to the Amendment"
Agreed to,0.03635606798165779,-0.010626488862792275,-308.0,140.0,-84.0,224.0,", On Agreeing to the Amendment"
Agreed to,0.014276275524060258,-0.06606074611987743,-48.0,416.0,184.0,232.0,", On Agreeing to the Amendment"
Agreed to,0.03099994945951461,-0.029444022515171257,-236.0,228.0,-4.0,232.0,", On Agreeing to the Amendment"
Agreed to,0.018789159168670903,-0.058973092578904505,-97.0,367.0,135.0,232.0,", On Agreeing to the Amendment"
Agreed to,0.026004417935521936,-0.04142878217137068,-177.0,285.0,54.0,231.0,", On Agreeing to the Amendment"
Agreed to,0.038948885188705325,-0.006182874828373916,-338.0,124.0,-107.0,231.0,", On Agreeing to the Amendment"
Agreed to,0.03817870962406078,-0.004948818205629151,-331.0,115.0,-108.0,223.0,", On Agreeing to the Amendment"
Agreed to,0.024940681813064965,-0.043813390787021914,-168.0,290.0,61.0,229.0,", On Agreeing to the Amendment"
Agreed to,0.03373494927703541,-0.020619002652094858,-273.0,189.0,-42.0,231.0,", On Agreeing to the Amendment"
Agreed to,0.023992042065163484,-0.04434885052547235,-158.0,292.0,67.0,225.0,", On Agreeing to the Amendment"
Agreed to,0.03714818668729629,-0.010286359668808715,-314.0,144.0,-85.0,229.0,", On Agreeing to the Amendment"
Agreed to,0.021671307298996047,-0.050577683338148605,-132.0,326.0,97.0,229.0,", On Agreeing to the Amendment"
Agreed to,0.02365284612649549,-0.046999400699141616,-151.0,309.0,79.0,230.0,", On Agreeing to the Amendment"
Agreed to,0.03889262563177199,-0.0016317542456131115,-345.0,103.0,-121.0,224.0,", On Agreeing to the Amendment"
Failed,0.006385130346193835,0.046680614798957895,-111.0,-239.0,-175.0,-64.0,", On Agreeing to the Amendment"
Agreed to,0.0187733063488247,-0.056522565890789724,-99.0,355.0,128.0,227.0,", On Agreeing to the Amendment"
Agreed to,0.022339811974673877,-0.04876728716984649,-138.0,320.0,91.0,229.0,", On Agreeing to the Amendment"
Agreed to,0.02252555155635397,-0.0462596305036715,-143.0,309.0,83.0,226.0,", On Agreeing to the Amendment"
Agreed to,0.01979304561315627,-0.05414243383024084,-111.0,345.0,117.0,228.0,", On Agreeing to the Amendment"
Agreed to,0.02114577891339811,-0.0526083100240804,-124.0,334.0,105.0,229.0,", On Agreeing to the Amendment"
Agreed to,0.018649299400058952,-0.05687035534710224,-97.0,359.0,131.0,228.0,", On Agreeing to the Amendment"
Agreed to,0.03144017205419918,-0.026463263950992584,-245.0,211.0,-17.0,228.0,", On Agreeing to the Amendment"
Agreed to,0.03278820779367874,-0.024215419479673702,-261.0,199.0,-31.0,230.0,", On Agreeing to the Amendment"
Agreed to,0.042994612362454526,0.010949310759746823,-402.0,52.0,-175.0,227.0,", On Agreeing to the Amendment"
Agreed to,0.03700950522833716,-0.010452758643067566,-315.0,141.0,-87.0,228.0,", On Agreeing to the Amendment"
Agreed to,0.04316421580468779,0.012443914923750705,-408.0,46.0,-181.0,227.0,", On Agreeing to the Amendment"
Agreed to,0.027159130681765748,-0.038101601350478055,-193.0,263.0,35.0,228.0,", On Agreeing to the Amendment"
Agreed to,0.023270995142561927,-0.04721919696730252,-146.0,308.0,81.0,227.0,", On Agreeing to the Amendment"
Agreed to,0.02106775904151863,-0.050873476065220906,-124.0,328.0,102.0,226.0,", On Agreeing to the Amendment"
Agreed to,0.026437596959138637,-0.04016280417653313,-184.0,270.0,43.0,227.0,", On Agreeing to the Amendment"
Agreed to,0.02813064809329431,-0.03511169829197561,-203.0,245.0,21.0,224.0,", On Agreeing to the Amendment"
Agreed to,0.04298936096467087,0.015160473648592021,-410.0,32.0,-189.0,221.0,", On Agreeing to the Amendment"
Agreed to,0.01893743441805592,-0.055362572579583234,-102.0,348.0,123.0,225.0,", On Agreeing to the Amendment"
Passed,0.021511473717924147,-0.03482818297867338,-148.0,234.0,43.0,191.0,"Making appropriations for the Departments of Labor, Health and Human Services, and Education, and related agencies for the fiscal year ending September 30, 2020, and for other purposes, On Motion that the Committee Rise"
Failed,-0.04245994827488608,-0.014314388824076601,405.0,-35.0,185.0,-220.0,", On Agreeing to the Amendment"
Agreed to,0.014417238412412145,-0.06383768281415504,-52.0,404.0,176.0,228.0,", On Agreeing to the Amendment"
Agreed to,0.026873731057678023,-0.03667258902543192,-192.0,256.0,32.0,224.0,", On Agreeing to the Amendment"
