Hastert,-0.03625032919550655,0.027873739208515436,424.0,28.0,226.0,-198.0,", Election of the Speaker"
Passed,-0.03641513589403921,0.011842668712382506,326.0,132.0,229.0,-97.0,"Class Action Fairness Act, On Passage"
Passed,-0.02737197954245459,-0.03608600825382277,35.0,409.0,222.0,187.0,"Honoring the life and legacy of former Lebanese Prime Minister Rafik Hariri., On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.028073226445624416,-0.037144525678867626,35.0,417.0,226.0,191.0,"Providing for the acceptance of a statue of Sarah Winnemucca, presented by the people of Nevade, for placement in National Statuary Hall, and for other purposes, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.02805045786483374,-0.03684811076712933,37.0,415.0,226.0,189.0,"Permitting the use of the rotunda of the Capitol for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust, On Motion to Suspend the Rules and Agree"
Passed,-0.03593281918929989,0.026455761184092944,416.0,36.0,226.0,-190.0,"Providing for the consideration of H.R. 27, Job Training Improvement Act, On Agreeing to the Resolution"
Passed,-0.028084622672163398,-0.03663506431549389,36.0,416.0,226.0,190.0,"Humanitarian Assistance Code of Conduct Act, On Motion to Suspend the Rules and Pass"
Failed,0.03525010343930098,-0.02770471491260185,-411.0,-23.0,-217.0,194.0,", On Agreeing to the Amendment"
Failed,0.03420296652713615,-0.027105424986418544,-402.0,-20.0,-211.0,191.0,", On Agreeing to the Amendment"
Failed,0.03620218039023265,-0.023694361460754258,-391.0,-55.0,-223.0,168.0,", On Agreeing to the Amendment"
Failed,0.03637186011279752,-0.027506972497355568,-424.0,-32.0,-228.0,196.0,"Job Training Improvement Act, On Motion to Recommit with Instructions"
Passed,-0.03461440931302353,0.02620910038056037,399.0,25.0,212.0,-187.0,"Job Training Improvement Act, On Passage"
Failed,0.035854428690140244,-0.025944968062208206,-410.0,-38.0,-224.0,186.0,", On Agreeing to the Amendment"
Failed,0.036105867317737565,-0.02322244558062395,-393.0,-57.0,-225.0,168.0,", On Agreeing to the Amendment"
Failed,0.0356422118175876,-0.027584939235117106,-418.0,-28.0,-223.0,195.0,"Continuity in Representation Act, On Motion to Recommit with Instructions"
Passed,-0.028893437667868605,-0.014408652810722017,146.0,260.0,203.0,57.0,"Continuity in Representation Act, On Passage"
Passed,-0.02770748861636557,-0.027748510800097638,76.0,348.0,212.0,136.0,", On Approving the Journal"
Passed,-0.02857503950500589,-0.03470328577377596,50.0,406.0,228.0,178.0,"Providing for amounts from the applicable accounts of the House of Representatives for continuing expenses of standing and select committees of the House from April 1, 2005 through April 30, 2005, On Motion to Suspend the Rules and Agree, As Amended"
Passed,-0.028073313210520628,-0.03371776034027445,50.0,396.0,223.0,173.0,"Expressing the sense of the House of Representatives regarding the study of languages and supporting the designation of a Year of Languages, On Motion to Suspend the Rules and Agree"
Failed,-0.025179598676955597,0.026869986047348523,311.0,-27.0,142.0,-169.0,", On Agreeing to the Amendment"
Agreed to,-0.033060886864336364,0.014879736525525893,309.0,91.0,200.0,-109.0,", On Agreeing to the Amendment"
Agreed to,-0.029258877947428184,0.018079071125300987,301.0,51.0,176.0,-125.0,", On Agreeing to the Amendment"
Failed,-0.009718354818188026,0.02522961619237396,193.0,-109.0,42.0,-151.0,", On Agreeing to the Amendment"
Agreed to,-0.030602316024868056,0.02376615467519361,344.0,18.0,181.0,-163.0,", On Agreeing to the Amendment"
Passed,-0.025374156945207487,-0.02649617765833062,66.0,326.0,196.0,130.0,", On Approving the Journal"
Agreed to,-0.0332344231497401,0.02591486655050085,382.0,24.0,203.0,-179.0,", On Agreeing to the Amendment"
Agreed to,-0.015068569125188435,0.008712896091487182,152.0,32.0,92.0,-60.0,", On Agreeing to the Amendment"
Failed,0.03635463090382677,-0.025461272404259046,-408.0,-46.0,-227.0,181.0,"Transportation Equity Act: A Legacy for Users, On Motion to Recommit with Instructions"
Passed,-0.02557245202547029,-0.038136763457733605,10.0,406.0,208.0,198.0,"Transportation Equity Act: A Legacy for Users, On Passage"
Passed,-0.02579087074873745,-0.034593880006315705,31.0,383.0,207.0,176.0,"House Democracy Assistance Commission Resolution, On Motion to Suspend the Rules and Agree"
Passed,-0.026142100185846322,-0.03352039541513394,38.0,376.0,207.0,169.0,"Urging the European Union to add Hezbollah to the European Union’s wide-ranging list of terrorist organizations, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.02607554152156068,-0.035008720002727076,32.0,390.0,211.0,179.0,"To extend the existence of the Nazi War Crimes and Japanese Imperial Government Records Interagency Working Group for 2 years, On Motion to Suspend the Rules and Pass"
Passed,-0.03508869252538884,0.02738341589477068,412.0,26.0,219.0,-193.0,"Providing for consideration of the bill (H.R. 1268) making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes, On Ordering the Previous Question"
Passed,-0.03552150306878385,0.026985342830084493,414.0,30.0,222.0,-192.0,", On Motion to Table"
Passed,-0.035774927881227214,0.028020456616806737,421.0,25.0,223.0,-198.0,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes, Sustain the Ruling of the Chair"
Failed,0.036262915859851565,-0.025176530563644283,-406.0,-46.0,-226.0,180.0,", On Agreeing to the Amendment"
Agreed to,0.0008968741999217256,-0.011839854090245155,-64.0,86.0,11.0,75.0,", On Agreeing to the Amendment"
Failed,0.024407245853890015,-0.01547492992239853,-260.0,-36.0,-148.0,112.0,", On Agreeing to the Amendment"
Agreed to,-0.02701888689875518,-0.03805332878894792,23.0,417.0,220.0,197.0,", On Agreeing to the Amendment"
Failed,0.0362301896582503,-0.027289961225103646,-418.0,-30.0,-224.0,194.0,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes, On Motion to Recommit with Instructions"
Passed,-0.030939755136449677,-0.025666338218779863,100.0,346.0,223.0,123.0,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes, On Passage"
Passed,-0.03674054301378887,0.028178872864933334,429.0,29.0,229.0,-200.0,"Providing for consideration of the concurrent resolution (H. Con. Res. 95) establishing the congressional budget for the United States Government for fiscal year 2006, revising appropriate budgetary levels for fiscal year 2005, and setting forth appropriate budgetary levels for fiscal years 2007 through 2010, On Ordering the Previous Question"
Passed,-0.03619795461047361,0.027194526594141517,421.0,33.0,227.0,-194.0,"Providing for consideration of the concurrent resolution (H. Con. Res. 95) establishing the congressional budget for the United States Government for fiscal year 2006, revising appropriate budgetary levels for fiscal year 2005, and setting forth appropriate budgetary levels for fiscal years 2007 through 2010, On Agreeing to the Resolution"
Passed,-0.027983778686357635,-0.039044971704716214,25.0,429.0,227.0,202.0,"To amend the Internal Revenue Code of 1986 to extend the Leaking Underground Storage Tank Trust Fund financing rate, On Motion to Suspend the Rules and Pass"
Passed,-0.02796380407911289,-0.037701861244076644,31.0,419.0,225.0,194.0,"Expressing the grave concern of Congress regarding the recent passage of the anti-secession law by the National People’s Congress of the People’s Republic of China, On Motion to Suspend the Rules and Agree"
Failed,0.03552096276070829,-0.021427130598575587,-367.0,-63.0,-215.0,152.0,", On Agreeing to the Amendment"
Failed,-0.001644204574745178,0.03583244742829626,175.0,-217.0,-21.0,-196.0,", On Agreeing to the Amendment"
Passed,-0.027384940180894483,-0.038106936481214736,23.0,417.0,220.0,197.0,"Expressing the grave concern of Congress regarding the occupation of the Republic of Lebanon by the Syrian Arab Republic, On Motion to Suspend the Rules and Agree, as Amended"
Failed,0.035599801265524054,-0.006347400649980156,-289.0,-159.0,-224.0,65.0,", On Agreeing to the Amendment"
Failed,0.034022262447883166,0.0030043934053695315,-235.0,-213.0,-224.0,11.0,"Congressional Budget for FY 2006, On Motion that the Committee Rise"
Failed,0.03665873067831704,-0.017205695909584505,-356.0,-100.0,-228.0,128.0,", On Agreeing to the Amendment"
Passed,-0.03387990086606912,0.029179698674960595,407.0,5.0,206.0,-201.0,"Congressional Budget for FY 2006, On Agreeing to the Resolution"
Passed,-0.02728477325982254,-0.03549077537323679,34.0,398.0,216.0,182.0,"Expressing the grave concern of Congress regarding the continuing gross violations of human rights and civil liberties of the Syrian and Lebanese people by the Government of the Syrian Arab Republic, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.02295416739117428,-0.0019764497782632,157.0,145.0,151.0,-6.0,"For the relief of the parents of Theresa Marie Schiavo, On Motion to Suspend the Rules and Pass"
Passed,-0.02632815365132475,-0.03621408499525938,27.0,401.0,214.0,187.0,"Commemorating the life of the late Zurab Zhvania, Prime Minister of the Republic of Georgia, On Motion to Suspend the Rules and Agree"
Passed,-0.02638025774412635,-0.03596764795921934,28.0,400.0,214.0,186.0,"Commending the outstanding efforts by members of the Armed Forces and civilian employees of the Department of State and USAID in response to the earthquake and tsunami of December 26, 2004, On Motion to Suspend the Rules and Agree"
Passed,-0.026420948002348846,-0.03655611878727867,26.0,404.0,215.0,189.0,"Honoring the life and contributions of Yogi Bhajan, a leader of Sikhs, and expressing condolences to the Sikh community on his passing, On Motion to Suspend the Rules and Agree"
Passed,-0.02738011110171344,-0.03717992879023728,30.0,414.0,222.0,192.0,"Honoring the life and achievements of His Holiness Pope John Paul II and expressing profound sorrow on his death, On Agreeing to the Resolution"
Passed,-0.02661188271459248,-0.037234047935588425,22.0,406.0,214.0,192.0,"Supporting the goals and ideals of Financial Literacy Month, and for other purposes, On Motion to Suspend the Rules and Agree"
Passed,-0.02183957652150063,-0.03784568088518954,-15.0,379.0,182.0,197.0,"To establish the “Twenty-First Century Water Commission” to study and develop recommendations for a comprehensive water strategy to address future water needs, On Motion to Suspend the Rules and Pass"
Passed,-0.02758232463813745,-0.03815204768766072,28.0,422.0,225.0,197.0,"To direct the Secretary of Agriculture to convey certain land to Lander County, Nevada, and the Secretary of the Interior to convey certain land to Eureka County, Nevada, for continued use as cemeteries, On Motion to Suspend the Rules and Pass"
Passed,-0.027781816760765715,-0.038436215890904166,28.0,426.0,227.0,199.0,"Justin W. Williams United States Attorney’s Building, On Motion to Suspend the Rules and Pass"
Passed,-0.027481456642034365,-0.03860144876498624,25.0,425.0,225.0,200.0,"Robert T. Matsui United States Courthouse, On Motion to Suspend the Rules and Pass"
Passed,-0.0368672967097249,0.026088490457906687,417.0,43.0,230.0,-187.0,"Providing for consideration of the bill (H.R. 8) to make the repeal of the estate tax permanent, On Ordering the Previous Question"
Failed,0.03628577697444175,-0.02547718750328379,-411.0,-43.0,-227.0,184.0,", On Agreeing to the Amendment"
Passed,-0.036776976317214785,0.015166800216673031,348.0,112.0,230.0,-118.0,"Death Tax Repeal Permanency Act, On Passage"
Failed,0.03064124153514211,0.022358458352087753,-117.0,-321.0,-219.0,-102.0,", On Motion to Adjourn"
Passed,-0.03629326670982105,0.027949620894557572,425.0,29.0,227.0,-198.0,"Providing for consideration of the bill (S. 256) to amend title 11 of the United States Code, and for other purposes, On Ordering the Previous Question"
Passed,-0.036214206458297336,0.027201896804837505,418.0,32.0,225.0,-193.0,"Providing for consideration of the bill (S. 256) to amend title 11 of the United States Code, and for other purposes, On Agreeing to the Resolution"
Passed,-0.034715965620163644,0.027141835483801138,408.0,24.0,216.0,-192.0,"A Resolution Raising a Question of the Privileges of the House, On Motion to Table the Resolution"
Failed,0.03622133164768302,-0.027833564635793374,-424.0,-30.0,-227.0,197.0,"Bankruptcy Abuse Prevention and Consumer Protection Act, On Motion to Recommit with Instructions"
Passed,-0.0361617991684848,0.0043946723867204236,281.0,177.0,229.0,-52.0,"Bankruptcy Abuse Prevention and Consumer Protection Act, On Passage"
Passed,-0.027165743968534543,-0.0362059112456914,32.0,402.0,217.0,185.0,"Trademark Dilution Revision Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.02731944383616974,-0.03756522561817007,28.0,416.0,222.0,194.0,"Providing for the appointment of Shirley Ann Jackson as a citizen regent of the Board of Regents of the Smithsonian Institution, On Motion to Suspend the Rules and Pass"
Passed,-0.02739865966402246,-0.036843031411347996,32.0,412.0,222.0,190.0,"Providing for the appointment of Robert P. Kogod as a citizen regent of the Board of Regents of the Smithsonian Institution, On Motion to Suspend the Rules and Pass"
Passed,-0.03615432247769673,0.025958941222204865,409.0,39.0,224.0,-185.0,"Providing for the Consideration of H.R. 6, Energy Policy Act of 2005, On Consideration of the Resolution"
Passed,-0.02744234624540078,-0.03835420611772677,25.0,423.0,224.0,199.0,"Expressing the condolences and deepest sympathies of the Congress in the aftermath of the recent school shooting at Red Lake High School in Red Lake, Minnesota, On Motion to Suspend the Rules and Agree"
Passed,-0.027333016348931406,-0.03815139623722446,25.0,421.0,223.0,198.0,"Recognizing the University of Pittsburgh and Dr. Jonas Salk on the Fiftieth Anniversary of the Milestone Discovery of the Salk Polio Vaccine, On Motion to Suspend the Rules and Agree, as Amended"
Failed,0.03400531968644725,-0.019776842508305064,-333.0,-67.0,-200.0,133.0,", On Agreeing to the Amendment"
Failed,0.032992771123182496,-0.020520504322765983,-350.0,-54.0,-202.0,148.0,", On Agreeing to the Amendment"
Failed,0.032001233813800246,-0.013345292137464188,-287.0,-97.0,-192.0,95.0,", On Agreeing to the Amendment"
Failed,0.0364615226846767,-0.018167844201867858,-354.0,-90.0,-222.0,132.0,", On Agreeing to the Amendment"
Agreed to,-0.025031870119569814,0.008896901341016197,208.0,88.0,148.0,-60.0,", On Agreeing to the Amendment"
Agreed to,-0.03250662884818254,-0.011061127383667869,178.0,262.0,220.0,42.0,", On Agreeing to the Amendment"
Failed,0.02673115925380974,-0.011680431403311846,-239.0,-79.0,-159.0,80.0,", On Agreeing to the Amendment"
Failed,0.030054466333804118,-0.0216979966963929,-312.0,-32.0,-172.0,140.0,", On Agreeing to the Amendment"
Failed,0.0357075953628566,-0.02259031176990648,-380.0,-56.0,-218.0,162.0,", On Agreeing to the Amendment"
Failed,0.03112352456519103,-0.023231604015210426,-334.0,-22.0,-178.0,156.0,", On Agreeing to the Amendment"
Agreed to,0.024503487471481546,-0.029308917643297138,-320.0,48.0,-136.0,184.0,", On Agreeing to the Amendment"
Agreed to,0.008685229380470474,-0.03441308053056896,-221.0,173.0,-24.0,197.0,", On Agreeing to the Amendment"
Agreed to,0.01834952667037462,-0.029510644412873897,-273.0,87.0,-93.0,180.0,", On Agreeing to the Amendment"
Failed,0.029587383276406188,-0.022511930046314067,-317.0,-25.0,-171.0,146.0,", On Agreeing to the Amendment"
Failed,0.03047503572075396,-0.026369558700416715,-353.0,-7.0,-180.0,173.0,", On Agreeing to the Motion to Strike"
Failed,0.03633773186075347,-0.022961641363026707,-385.0,-59.0,-222.0,163.0,", On Agreeing to the Amendment"
Failed,0.027723737228810913,-0.01730378478772161,-274.0,-44.0,-159.0,115.0,", On Agreeing to the Amendment"
