Boehner,0.03674269798061094,0.0051628822181127906,412.0,28.0,220.0,-192.0,", Election of the Speaker"
Passed,0.03654987814286808,0.004522129837943159,411.0,37.0,224.0,-187.0,"Adopting rules for the One Hundred Thirteenth Congress, On Motion to Table the Motion to Refer"
Passed,0.03705865513630922,0.004579941311644615,416.0,36.0,226.0,-190.0,"Adopting rules for the One Hundred Thirteenth Congress, On Ordering the Previous Question"
Failed,-0.03747036247867972,-0.004865528193211428,-421.0,-35.0,-228.0,193.0,"Adopting rules for the One Hundred Thirteenth Congress, On Motion to Commit"
Passed,0.03760199915157091,0.005236509359430542,422.0,32.0,227.0,-195.0,"Adopting rules for the One Hundred Thirteenth Congress, On Agreeing to the Resolution"
Passed,-0.007084355592238086,-0.047043341301920095,-99.0,287.0,94.0,193.0,"To temporarily increase the borrowing authority of the Federal Emergency Management Agency for carrying out the National Flood Insurance Program, On Motion to Suspend the Rules and Pass"
Passed,0.006633728602392294,-0.05846442647934094,41.0,403.0,222.0,181.0,"To improve and streamline disaster assistance for Hurricane Sandy, and for other purposes, On Motion to Suspend the Rules and Pass"
Passed,0.0035451955932398987,-0.031080786219119708,21.0,205.0,113.0,92.0,", On Approving the Journal"
Failed,-0.0071638481705466345,0.05696689887873532,-47.0,-393.0,-220.0,-173.0,", On Motion to Adjourn"
Passed,0.027500376066099085,-0.018395078247445233,290.0,166.0,228.0,-62.0,"Providing for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes, On Ordering the Previous Question"
Passed,0.0141823221919646,-0.04394252566966923,133.0,315.0,224.0,91.0,"Providing for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes, On Agreeing to the Resolution"
Failed,-0.0066475706832522,0.06081260388864262,-39.0,-419.0,-229.0,-190.0,", On Motion to Adjourn"
Failed,0.024110290180893383,0.022857499084190554,269.0,-97.0,86.0,-183.0,", On Agreeing to the Amendment"
Agreed to,-0.011878688262964626,-0.0408908163491427,-148.0,236.0,44.0,192.0,", On Agreeing to the Amendment"
Agreed to,0.03431271145078141,0.005846446704519804,376.0,24.0,200.0,-176.0,", On Agreeing to the Amendment"
Failed,0.032950254269018334,0.010758330707088214,364.0,-8.0,178.0,-186.0,", On Agreeing to the Amendment"
Failed,0.032517459562217396,0.012274632729914563,365.0,-15.0,175.0,-190.0,", On Agreeing to the Amendment"
Agreed to,0.03460406603058753,0.008458881000462644,385.0,11.0,198.0,-187.0,", On Agreeing to the Amendment"
Failed,0.03232224712516392,0.010432677119220638,356.0,-4.0,176.0,-180.0,", On Agreeing to the Amendment"
Agreed to,0.035591433553632895,0.006153643776182915,395.0,25.0,210.0,-185.0,", On Agreeing to the Amendment"
Agreed to,-0.030617772891709517,-0.01481718513725944,-340.0,36.0,-152.0,188.0,", On Agreeing to the Amendment"
Passed,-0.02884306483011753,-0.018349754978912915,-322.0,62.0,-130.0,192.0,"Making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes, On Passage"
Passed,0.0005929582651935104,-0.056479128766916284,-26.0,366.0,170.0,196.0,"To reauthorize certain programs under the Public Health Service Act and the Federal Food, Drug, and Cosmetic Act with respect to public health security and all-hazards preparedness and response, and for other purposes, On Motion to Suspend the Rules and Pass"
Failed,-0.006916047352931996,0.06011469840710343,-42.0,-416.0,-229.0,-187.0,", On Motion to Adjourn"
Passed,0.03748691853046546,0.00416251435703585,419.0,39.0,229.0,-190.0,"Providing for consideration of the bill (H.R. 325) to ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes, On Ordering the Previous Question"
Passed,0.03705329703954367,0.0031481771265243694,410.0,44.0,227.0,-183.0,"Providing for consideration of the bill (H.R. 325) to ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes, On Agreeing to the Resolution"
Passed,0.007726064931516691,-0.023980398616607643,68.0,162.0,115.0,47.0,", On Approving the Journal"
Failed,-0.029937567821673762,0.010071675839593161,-332.0,-126.0,-229.0,103.0,"To ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes, On Motion to Recommit with Instructions"
Passed,0.019473129768038677,-0.019298444884874713,191.0,141.0,166.0,-25.0,"To ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes, On Passage"
