Foley,0.044791782620390554,0.03209696438548673,-426.0,96.0,-165.0,261.0,", ELECTION OF SPEAKER"
Failed,0.00025570782205949034,0.03777156786736698,-78.0,-142.0,-110.0,-32.0,", On Agreeing to the Amendment"
Failed,0.010496099941639405,0.027382443656528015,-131.0,-45.0,-88.0,43.0,", On Agreeing to the Amendment"
Agreed to,0.009571079976140739,0.002780063483257436,-50.0,50.0,0.0,50.0,", On Agreeing to the Amendment"
Agreed to,0.033654008608002134,-0.04837018115322935,-107.0,391.0,142.0,249.0,", On Agreeing to the Amendment"
Passed,0.03466621401570675,-0.033000852303241776,-137.0,315.0,89.0,226.0,"ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR FY 1993, On Passage"
Passed,0.039586861792245735,0.004696150934828706,-276.0,176.0,-50.0,226.0,", On Approving the Journal"
Passed,0.032866456389190835,-0.05339534288088309,-85.0,407.0,161.0,246.0,"JOINT COMMITTEE ON THE ORGANIZATION OF CONGRESS, On Agreeing to the Resolution"
Passed,0.032114931709706175,0.02174908316829118,-227.0,81.0,-73.0,154.0,"DIRE EMERGENCY SUPPLEMENTAL APPRORIATIONS FOR DISASTER RELIEF, On Agreeing to the Conference Report"
Passed,0.029188335228320997,-0.03126495505022889,-115.0,281.0,83.0,198.0,"COAST GUARD AUTHORIZATION ACT, On Passage"
Passed,0.034051487315621576,0.009043032216286714,-252.0,128.0,-62.0,190.0,", On Approving the Journal"
Failed,-0.03327537475758859,0.044440511013536625,109.0,-361.0,-126.0,-235.0,", ON MOTION TO ADJOURN"
Passed,0.043704810102233746,0.022627481895568173,-375.0,125.0,-125.0,250.0,"WAIVING CERTAIN POINTS OF ORDER AGAINST H. R. 5428; MAKING APPROPRIATIONS FOR MILITARY CONSTRUCTION FOR F.Y. 1993, On Ordering the Previous Question"
Passed,0.038119019796181076,-0.035948277005731784,-156.0,346.0,95.0,251.0,"WAIVING CERTAIN POINTS OF ORDER AGAINST H. R. 5428; MAKING APPROPRIATIONS FOR MILITARY CONSTRUCTION FOR F.Y. 1993, On Agreeing to the Resolution"
Failed,-0.03376519595408243,-0.007867534486875709,244.0,-132.0,56.0,-188.0,", On Agreeing to the Amendment"
Agreed to,0.00859679875807402,-0.010311349556962349,-29.0,109.0,40.0,69.0,", On Agreeing to the Amendment"
Passed,0.03415158197263356,-0.05346579489397014,-94.0,416.0,161.0,255.0,"MAKING APPROPRIATIONS FOR MILITARY CONSTRUCTION FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 1993, MOTION TO RISE AND REPORT"
Passed,0.035439076541739514,-0.0497099027977847,-111.0,403.0,146.0,257.0,"MAKING APPROPRIATIONS FOR MILITARY CONSTRUCTION FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 1993, ENGROSSMENT AND THIRD READING"
Passed,0.036313656272668166,-0.03956300389640668,-138.0,356.0,109.0,247.0,"MAKING APPROPRIATIONS FOR MILITARY CONSTRUCTION FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 1993, On Passage"
