Failed,-1.7404716849564786e-18,3.069118692730115e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,2.928237053412717e-19,-8.238508425948739e-18,0.0,0.0,0.0,0.0,"Class Action Fairness Act, On Motion to Commit with Instructions"
Passed,-8.914010187429661e-19,-1.8823546281077175e-17,0.0,0.0,0.0,0.0,"Class Action Fairness Act, On Passage"
Passed,5.397015492645495e-18,7.083262036870114e-18,0.0,0.0,0.0,0.0,"Honoring the life and legacy of former Lebanese Prime Minister Rafik Hariri., On Motion to Suspend the Rules and Agree, as Amended"
Passed,-4.961171294921227e-19,9.06991230934818e-18,0.0,0.0,0.0,0.0,"Providing for the acceptance of a statue of Sarah Winnemucca, presented by the people of Nevade, for placement in National Statuary Hall, and for other purposes, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-4.52379847974806e-18,-2.262182994300122e-18,0.0,0.0,0.0,0.0,"Permitting the use of the rotunda of the Capitol for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust, On Motion to Suspend the Rules and Agree"
Passed,1.2193412950422906e-18,-4.692471235141021e-18,0.0,0.0,0.0,0.0,"Providing for the consideration of H.R. 27, Job Training Improvement Act, On Agreeing to the Resolution"
Passed,-1.0384036016936848e-19,1.5304107496668998e-17,0.0,0.0,0.0,0.0,"Humanitarian Assistance Code of Conduct Act, On Motion to Suspend the Rules and Pass"
Failed,-2.110563031265771e-18,-9.594095444407833e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,5.348649675635558e-18,1.171294123647233e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,2.955146154715911e-18,9.728333140192892e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-4.0306233538808677e-19,-4.2277279784327906e-18,0.0,0.0,0.0,0.0,"Job Training Improvement Act, On Motion to Recommit with Instructions"
Passed,5.014503856341317e-19,3.6586607673277295e-18,0.0,0.0,0.0,0.0,"Job Training Improvement Act, On Passage"
Failed,5.0678002984587536e-18,2.6100798332076955e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-2.0937482242138024e-18,-2.7762827703909573e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-6.020657383999283e-19,2.7903053132700764e-18,0.0,0.0,0.0,0.0,"Continuity in Representation Act, On Motion to Recommit with Instructions"
Passed,1.0256969278565273e-17,3.512279288751191e-18,0.0,0.0,0.0,0.0,"Continuity in Representation Act, On Passage"
Passed,-8.572556870872291e-19,-5.769614573504209e-18,0.0,0.0,0.0,0.0,", On Approving the Journal"
Passed,-5.422702972390797e-19,2.377021381854392e-19,0.0,0.0,0.0,0.0,"Providing for amounts from the applicable accounts of the House of Representatives for continuing expenses of standing and select committees of the House from April 1, 2005 through April 30, 2005, On Motion to Suspend the Rules and Agree, As Amended"
Passed,6.092506510453797e-19,1.7089468888190239e-18,0.0,0.0,0.0,0.0,"Expressing the sense of the House of Representatives regarding the study of languages and supporting the designation of a Year of Languages, On Motion to Suspend the Rules and Agree"
Failed,2.6680547475955872e-18,-5.4839540562345154e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-4.674954122930395e-18,-3.686018524833765e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-3.747961693019716e-18,3.826863572344112e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,2.2327071624623356e-18,-1.2394346926660054e-17,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-2.4373374230227645e-19,-4.567089922259887e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,4.150258877930499e-18,1.9640421680748424e-18,0.0,0.0,0.0,0.0,", On Approving the Journal"
Agreed to,-2.947747437707658e-18,-2.769500303032132e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-4.546515515872984e-18,6.601965043703966e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,8.179698793165298e-20,3.888779749686663e-18,0.0,0.0,0.0,0.0,"Transportation Equity Act: A Legacy for Users, On Motion to Recommit with Instructions"
Passed,3.540014121626715e-18,-1.8169420785986758e-18,0.0,0.0,0.0,0.0,"Transportation Equity Act: A Legacy for Users, On Passage"
Passed,-1.4194639651888408e-18,-3.0951218781432996e-18,0.0,0.0,0.0,0.0,"House Democracy Assistance Commission Resolution, On Motion to Suspend the Rules and Agree"
Passed,-8.25278776117175e-19,-5.00078973235015e-18,0.0,0.0,0.0,0.0,"Urging the European Union to add Hezbollah to the European Union’s wide-ranging list of terrorist organizations, On Motion to Suspend the Rules and Agree, as Amended"
Passed,1.5036576824791223e-18,7.584295726625727e-18,0.0,0.0,0.0,0.0,"To extend the existence of the Nazi War Crimes and Japanese Imperial Government Records Interagency Working Group for 2 years, On Motion to Suspend the Rules and Pass"
Passed,-2.5049763273671055e-18,-2.0399114463942425e-18,0.0,0.0,0.0,0.0,"Providing for consideration of the bill (H.R. 1268) making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes, On Ordering the Previous Question"
Passed,-4.11999150989295e-19,5.2300655906080146e-18,0.0,0.0,0.0,0.0,", On Motion to Table"
Passed,6.15447968168135e-21,-5.833609332190184e-18,0.0,0.0,0.0,0.0,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes, Sustain the Ruling of the Chair"
Failed,-2.224431000568889e-18,5.723770001896471e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-1.6364398219150872e-21,-5.329294774752857e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,1.2807362564159456e-18,-8.203146343485562e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-2.583915936155825e-20,-8.061055090397452e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-1.4690390184903136e-18,2.5821430572513047e-19,0.0,0.0,0.0,0.0,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes, On Motion to Recommit with Instructions"
Passed,-4.2857142001200486e-19,-5.097043765958565e-18,0.0,0.0,0.0,0.0,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes, On Passage"
Passed,4.1281754766538515e-18,4.13620109290229e-19,0.0,0.0,0.0,0.0,"Providing for consideration of the concurrent resolution (H. Con. Res. 95) establishing the congressional budget for the United States Government for fiscal year 2006, revising appropriate budgetary levels for fiscal year 2005, and setting forth appropriate budgetary levels for fiscal years 2007 through 2010, On Ordering the Previous Question"
Passed,2.028383774991563e-18,5.3938549875439116e-18,0.0,0.0,0.0,0.0,"Providing for consideration of the concurrent resolution (H. Con. Res. 95) establishing the congressional budget for the United States Government for fiscal year 2006, revising appropriate budgetary levels for fiscal year 2005, and setting forth appropriate budgetary levels for fiscal years 2007 through 2010, On Agreeing to the Resolution"
Passed,-2.2330494324410793e-18,-1.2835489800567517e-18,0.0,0.0,0.0,0.0,"To amend the Internal Revenue Code of 1986 to extend the Leaking Underground Storage Tank Trust Fund financing rate, On Motion to Suspend the Rules and Pass"
Passed,-5.2951225928554415e-19,4.6261809185876126e-18,0.0,0.0,0.0,0.0,"Expressing the grave concern of Congress regarding the recent passage of the anti-secession law by the National People’s Congress of the People’s Republic of China, On Motion to Suspend the Rules and Agree"
Failed,2.004888091444374e-18,-1.0439374522113453e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-4.988379667194643e-18,-3.81758565721815e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,-9.761602312663544e-19,-4.9104934389847015e-18,0.0,0.0,0.0,0.0,"Expressing the grave concern of Congress regarding the occupation of the Republic of Lebanon by the Syrian Arab Republic, On Motion to Suspend the Rules and Agree, as Amended"
Failed,-4.234226523230621e-20,-4.581001145119525e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,3.1997647344571433e-18,1.7045224120721103e-19,0.0,0.0,0.0,0.0,"Congressional Budget for FY 2006, On Motion that the Committee Rise"
Failed,-6.826231830340788e-18,-3.82022123754705e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,-3.713379534211294e-18,5.016369947397404e-19,0.0,0.0,0.0,0.0,"Congressional Budget for FY 2006, On Agreeing to the Resolution"
Passed,-3.954491842260204e-18,-4.7953464130738906e-18,0.0,0.0,0.0,0.0,"Expressing the grave concern of Congress regarding the continuing gross violations of human rights and civil liberties of the Syrian and Lebanese people by the Government of the Syrian Arab Republic, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-3.4572058637122105e-18,-3.115656729505679e-18,0.0,0.0,0.0,0.0,"For the relief of the parents of Theresa Marie Schiavo, On Motion to Suspend the Rules and Pass"
Passed,-7.096324207220012e-18,-1.4077472785001824e-18,0.0,0.0,0.0,0.0,"Commemorating the life of the late Zurab Zhvania, Prime Minister of the Republic of Georgia, On Motion to Suspend the Rules and Agree"
Passed,3.989256993024461e-18,-7.523811483339305e-19,0.0,0.0,0.0,0.0,"Commending the outstanding efforts by members of the Armed Forces and civilian employees of the Department of State and USAID in response to the earthquake and tsunami of December 26, 2004, On Motion to Suspend the Rules and Agree"
Passed,6.7963117271030994e-18,1.3563331766385062e-18,0.0,0.0,0.0,0.0,"Honoring the life and contributions of Yogi Bhajan, a leader of Sikhs, and expressing condolences to the Sikh community on his passing, On Motion to Suspend the Rules and Agree"
Passed,-1.3389992955688931e-18,-3.2623980328867497e-18,0.0,0.0,0.0,0.0,"Honoring the life and achievements of His Holiness Pope John Paul II and expressing profound sorrow on his death, On Agreeing to the Resolution"
Passed,1.6351014494367378e-18,8.053583497208572e-19,0.0,0.0,0.0,0.0,"Supporting the goals and ideals of Financial Literacy Month, and for other purposes, On Motion to Suspend the Rules and Agree"
Passed,-8.339723444311996e-19,1.5098651672070408e-19,0.0,0.0,0.0,0.0,"To establish the “Twenty-First Century Water Commission” to study and develop recommendations for a comprehensive water strategy to address future water needs, On Motion to Suspend the Rules and Pass"
Passed,6.476802198118796e-18,9.377439175161561e-19,0.0,0.0,0.0,0.0,"To direct the Secretary of Agriculture to convey certain land to Lander County, Nevada, and the Secretary of the Interior to convey certain land to Eureka County, Nevada, for continued use as cemeteries, On Motion to Suspend the Rules and Pass"
Passed,-3.380469070719687e-19,6.555820430287853e-19,0.0,0.0,0.0,0.0,"Justin W. Williams United States Attorney’s Building, On Motion to Suspend the Rules and Pass"
Passed,-6.54526503921132e-19,8.2949265542748315e-19,0.0,0.0,0.0,0.0,"Robert T. Matsui United States Courthouse, On Motion to Suspend the Rules and Pass"
Passed,8.921064914588435e-19,1.87832298260528e-18,0.0,0.0,0.0,0.0,"Providing for consideration of the bill (H.R. 8) to make the repeal of the estate tax permanent, On Ordering the Previous Question"
Failed,-1.3284818748931637e-18,-1.0648666572144481e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,-4.717529684566223e-19,2.0035407393202924e-18,0.0,0.0,0.0,0.0,"Death Tax Repeal Permanency Act, On Passage"
Failed,3.6749951117747064e-18,8.906070878786281e-19,0.0,0.0,0.0,0.0,", On Motion to Adjourn"
Passed,1.296561724137374e-18,-7.9891090664479e-18,0.0,0.0,0.0,0.0,"Providing for consideration of the bill (S. 256) to amend title 11 of the United States Code, and for other purposes, On Ordering the Previous Question"
Passed,-3.2594271144780167e-18,-2.37223118756212e-18,0.0,0.0,0.0,0.0,"Providing for consideration of the bill (S. 256) to amend title 11 of the United States Code, and for other purposes, On Agreeing to the Resolution"
Passed,2.619968958038978e-18,-1.3942486888575696e-18,0.0,0.0,0.0,0.0,"A Resolution Raising a Question of the Privileges of the House, On Motion to Table the Resolution"
Failed,-1.1768152768315137e-18,-1.3813363993441742e-18,0.0,0.0,0.0,0.0,"Bankruptcy Abuse Prevention and Consumer Protection Act, On Motion to Recommit with Instructions"
Passed,2.9327951216649823e-19,-7.007931718431007e-19,0.0,0.0,0.0,0.0,"Bankruptcy Abuse Prevention and Consumer Protection Act, On Passage"
Passed,1.9710902774497206e-18,-1.2273600532903693e-18,0.0,0.0,0.0,0.0,"Trademark Dilution Revision Act, On Motion to Suspend the Rules and Pass, as Amended"
