Pelosi,-0.019809728324504325,0.035681216171963945,-429.0,81.0,-174.0,255.0,", Election of the Speaker"
Failed,0.019425655455530072,-0.03554411288737744,423.0,-75.0,174.0,-249.0,"Adopting rules for the One Hundred Eleventh Congress, On Motion to Commit with Instructions"
Passed,-0.018055737468607592,0.035413253917367195,-411.0,61.0,-175.0,236.0,"Adopting rules for the One Hundred Eleventh Congress, On Agreeing to the Resolution"
Passed,-0.027503431304243365,0.0003076376392261809,-189.0,301.0,56.0,245.0,"Presidential Records Act Amendments, On Motion to Suspend the Rules and Pass"
Passed,-0.029410465749088094,-0.008611170100741356,-137.0,357.0,110.0,247.0,"Presidential Library Donation Reform Act, On Motion to Suspend the Rules and Pass"
Failed,0.018036409290074513,-0.03547480145014788,398.0,-62.0,168.0,-230.0,"Paycheck Fairness Act, On Motion to Recommit with Instructions"
Passed,-0.020041233256612816,0.032729471606044454,-393.0,93.0,-150.0,243.0,"Paycheck Fairness Act, On Passage"
Passed,-0.018878955916892568,0.03429835039899059,-402.0,76.0,-163.0,239.0,"Lilly Ledbetter Fair Pay Act of 2009, On Passage"
Passed,-0.027590423461512772,-0.019144652130387428,-51.0,385.0,167.0,218.0,"Recognizing Israel’s right to defend itself against attacks from Gaza, reaffirming the United States’ strong support for Israel, and supporting the Israeli-Palestinian peace process, On Motion to Suspend the Rules and Agree"
Passed,-0.03025837432590797,-0.01795208932309063,-77.0,411.0,167.0,244.0,"Supporting the goals and ideals of National Mentoring Month 2009, On Motion to Suspend the Rules and Agree"
Passed,-0.030452589963868806,-0.01835569075580688,-75.0,415.0,170.0,245.0,"Honoring the life of Claiborne Pell, distinguished former Senator from the State of Rhode Island, On Motion to Suspend the Rules and Agree"
Passed,-0.030539364629769805,-0.018126612162567102,-77.0,415.0,169.0,246.0,"Recognizing the efforts of those who serve their communities on Martin Luther King Day and promoting the holiday as a day of national service, On Motion to Suspend the Rules and Agree"
Passed,-0.01865881903467049,0.035952183109852154,-416.0,66.0,-175.0,241.0,"Providing for consideration of H.R. 2, to amend title XXI of the Social Security Act to extend and improve the Children’s Health Insurance Program, and for other purposes, On Agreeing to the Resolution"
Failed,0.018832910577968844,-0.03570107970265409,410.0,-68.0,171.0,-239.0,"Children’s Health Insurance Program Reauthorization Act of 2009, On Motion to Recommit with Instructions"
Passed,-0.022832541464829128,0.025010144481664623,-344.0,150.0,-97.0,247.0,"Children’s Health Insurance Program Reauthorization Act of 2009, On Passage"
Passed,-0.016836323667702807,0.036531056456748034,-396.0,44.0,-176.0,220.0,"Providing for consideration of H.R. 384, to reform the Troubled Assets Relief Program of the Secretary of the Treasury and ensure accountability under such program, On Agreeing to the Resolution"
Passed,-0.030789852941991137,-0.018731767826658724,-75.0,423.0,174.0,249.0,"Amending the Rules of the House of Representatives to require each standing committee to hold periodic hearings on the topic of waste, fraud, abuse, or mismanagement in Government programs which that committee may authorize, and for other purposes, On Motion to Suspend the Rules and Agree, as Amended"
Agreed to,-0.020502574584196274,0.026613616392498554,-339.0,121.0,-109.0,230.0,", On Agreeing to the Amendment"
Failed,0.020884465628615533,-0.028329614291990022,366.0,-120.0,123.0,-243.0,", On Agreeing to the Amendment"
Failed,0.021963687027770344,-0.02680554959892026,358.0,-136.0,111.0,-247.0,", On Agreeing to the Amendment"
Agreed to,-0.030900150721857172,-0.01854918613724518,-76.0,422.0,173.0,249.0,", On Agreeing to the Amendment"
Agreed to,-0.030879704787460445,-0.01874145635473332,-75.0,423.0,174.0,249.0,", On Agreeing to the Amendment"
Passed,-0.019448239360841283,0.03582653095221778,-425.0,75.0,-175.0,250.0,"TARP Reform and Accountability Act, Table Appeal of the Ruling of the Chair"
Failed,0.01494242633434002,-0.03561602604768597,369.0,-29.0,170.0,-199.0,"TARP Reform and Accountability Act, On Motion to Recommit with Instructions"
Passed,-0.019513936563070374,0.031091190787491237,-370.0,94.0,-138.0,232.0,"TARP Reform and Accountability Act, On Passage"
Passed,0.00021533442985060912,-0.030540929498773586,220.0,114.0,167.0,-53.0,"Relating to the disapproval of obligations under the Emergency Economic Stabilization Act of 2008, On Passage"
Passed,-0.030442778784365583,-0.018527689673213783,-73.0,417.0,172.0,245.0,"Designating the week of February 2 through February 6, 2009 as “National School Couseling Week”, On Motion to Suspend the Rules and Agree"
Passed,-0.029266996128846173,-0.016432508515348464,-78.0,394.0,158.0,236.0,"Commending the University of Florida Gators for winning the Bowl Championship Series National Championship Game, On Motion to Suspend the Rules and Agree"
Passed,-0.029547144792956337,-0.017753786029543108,-74.0,402.0,164.0,238.0,"Expressing support for designation of January 28, 2009, as “National Data Privacy Day”, On Motion to Suspend the Rules and Agree"
Passed,-0.02954714479295635,-0.01775378602954312,-74.0,402.0,164.0,238.0,"Honoring the heroic actions of the pilot, crew, and rescuers of US Airways Flight 1549, On Motion to Suspend the Rules and Agree"
Passed,-0.019770666181088824,0.03589215588421283,-427.0,77.0,-175.0,252.0,"Rule providing for consideration of the bill S. 181, On Ordering the Previous Question"
Passed,-0.019791756621210257,0.03573917286693973,-426.0,78.0,-174.0,252.0,"Rule providing for consideration of the bill S. 181, On Agreeing to the Resolution"
Passed,-0.018360630389428395,0.03614789418619819,-411.0,61.0,-175.0,236.0,"Rule providing for consideration of the bill H.R. 1, On Ordering the Previous Question"
Passed,-0.016809527266740617,0.03614284192936467,-394.0,44.0,-175.0,219.0,"Rule providing for consideration of the bill H.R. 1, On Agreeing to the Resolution"
Failed,0.019365647179134138,-0.03562098705451212,420.0,-74.0,173.0,-247.0,"Lilly Ledbetter Fair Pay Act of 2009, On Motion to Commit"
Passed,-0.019086138234237108,0.03524814404990958,-411.0,73.0,-169.0,242.0,"Lilly Ledbetter Fair Pay Act of 2009, On Passage"
Passed,-0.014621025455745045,0.03557887652930895,-369.0,25.0,-172.0,197.0,"Making supplemental appropriations for fiscal year ending 2009, On Question of Consideration of Bill"
Passed,-0.01851506164917588,0.03498947940313215,-404.0,66.0,-169.0,235.0,"Rule providing for consideration of H.R. 1, On Question of Consideration of Resolution"
Passed,-0.017996762247212864,0.03575229497750366,-410.0,58.0,-176.0,234.0,"Rule providing for consideration of H.R. 1, On Agreeing to the Resolution"
Failed,-0.018660685585116375,0.029159673162802734,-356.0,90.0,-133.0,223.0,"To postpone the DTV transition date., On Motion to Suspend the Rules and Pass, as Amended"
Failed,0.023783565492568225,-0.0240836445804335,344.0,-162.0,91.0,-253.0,", On Agreeing to the Amendment"
Failed,0.02500826800683239,-0.018457658608877367,308.0,-198.0,55.0,-253.0,", On Agreeing to the Amendment"
Failed,0.020443608332312523,-0.03425721034758672,409.0,-91.0,159.0,-250.0,", On Agreeing to the Amendment"
Failed,0.018886928942505272,-0.027180821208779325,341.0,-111.0,115.0,-226.0,"Making supplemental appropriations for fiscal year ending 2009, On Motion to Recommit with Instructions"
Passed,-0.017976566737941763,0.03670927297012673,-411.0,57.0,-177.0,234.0,"Making supplemental appropriations for fiscal year ending 2009, On Passage"
Passed,-0.03079722879490918,-0.018233573758690523,-77.0,417.0,170.0,247.0,"Raising awareness and encouraging prevention of stalking by establishing January 2009 as “National Stalking Awareness Month”, On Motion to Suspend the Rules and Agree"
Passed,-0.030913113472778107,-0.018354966694886718,-77.0,419.0,171.0,248.0,"Supporting the goals and ideals of National Teen Dating Violence Awareness and Prevention Week, On Motion to Suspend the Rules and Agree"
Passed,-0.0305225485834738,-0.017506316464274894,-80.0,410.0,165.0,245.0,"FAST Redress Act of 2009, On Motion to Suspend the Rules and Pass"
Passed,-0.023037416216767817,0.02448059536775179,-341.0,155.0,-93.0,248.0,"Children’s Health Insurance Program Reauthorization Act of 2009, On Motion to Concur in the Senate Amendment"
Failed,0.017233000306075635,-0.03340195476437383,380.0,-62.0,159.0,-221.0,"DTV Delay Act, On Motion to Commit with Instructions"
Passed,-0.019621201870105263,0.02834221756720735,-356.0,106.0,-125.0,231.0,"DTV Delay Act, On Passage"
Passed,-0.029891652827407,-0.017635162976469984,-76.0,406.0,165.0,241.0,"Death in Custody Reporting Act, On Motion to Suspend the Rules and Pass"
Passed,-0.029402420528477708,-0.018247384578328897,-69.0,403.0,167.0,236.0,"Making supplemental appropriations for fiscal year ending 2009, On Motion to Instruct Conferees"
Passed,-0.02924810723793286,-0.01747139125156622,-74.0,398.0,162.0,236.0,"Supporting the goals and ideals of “National Girls and Women in Sports Day”, On Motion to Suspend the Rules and Agree"
Passed,-0.02883407177418947,-0.017642558651483543,-70.0,394.0,162.0,232.0,"Recognizing and commending University of Oklahoma quarterback Sam Bradford for winning the 2008 Heisman Trophy and for his academic and athletic accomplishments, On Motion to Suspend the Rules and Agree"
Passed,-0.01896968628449258,0.03194994194462654,-389.0,85.0,-152.0,237.0,"Raising a Question of the Privileges of the House, On Motion to Table"
Passed,-0.03035982285173355,-0.018372138938913544,-73.0,413.0,170.0,243.0,"Honoring Miami University for its 200 years of commitment to extraordinary higher education, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.029994283411600955,-0.017559453841241208,-76.0,406.0,165.0,241.0,"Recognizing the 50th Anniversary of Dr. Martin Luther King, Jr.’s visit to India, and the positive influence that the teachings of Mahatma Gandhi had on Dr. King’s work during the Civil Rights Movement, On Motion to Suspend the Rules and Agree"
Passed,-0.017752385154010127,0.03543698589114717,-401.0,57.0,-172.0,229.0,"Providing for an adjournment or recess of the two Houses, On Agreeing to the Resolution"
Passed,-0.030967224993018322,-0.018743979788061374,-75.0,423.0,174.0,249.0,"Honoring John D. Dingell for holding the record as the longest serving member of the House of Representatives, On Motion to Suspend the Rules and Agree"
Passed,-0.030173726019612934,-0.010878379430085943,-124.0,372.0,124.0,248.0,"Elder Abuse Victims Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.019310537781622304,0.035466683430276376,-418.0,74.0,-172.0,246.0,"Providing for consideration of motions to suspend the rules, and for other purposes, On Agreeing to the Resolution"
Passed,-0.031046955694070774,-0.01836189605037498,-78.0,422.0,172.0,250.0,"Supporting the goals and ideals of National Engineers Week, On Motion to Suspend the Rules and Agree"
Passed,-0.031193778923305517,-0.018469578089172753,-78.0,424.0,173.0,251.0,"Honoring and praising the National Association for the Advancement of Colored People on the occasion of its 100th anniversary, On Motion to Suspend the Rules and Agree"
Passed,-0.016636672038046897,0.03683898009849635,-392.0,40.0,-176.0,216.0,"Providing for consideration of the conference report to accompany H.R. 1, Economic Stimulus, On Ordering the Previous Question"
Passed,-0.016094605337166248,0.03631799916558851,-383.0,37.0,-173.0,210.0,"Providing for consideration of the conference report to accompany H.R. 1, Economic Stimulus, On Agreeing to the Resolution"
Passed,-0.016150596843807777,0.03617032702021538,-389.0,37.0,-176.0,213.0,"Making supplemental appropriations for fiscal year ending 2009, On Question of Consideration of Conference Report"
Failed,0.017361430849022225,-0.03501706777425891,394.0,-58.0,168.0,-226.0,"Making supplemental appropriations for fiscal year ending 2009, On Motion to Recommit Conference Report with Instructions"
Passed,-0.018540627112703486,0.03644502938684321,-416.0,64.0,-176.0,240.0,"Making supplemental appropriations for fiscal year ending 2009, On Agreeing to the Conference Report"
Passed,-0.02985439128596394,-0.01709250305558256,-81.0,403.0,161.0,242.0,"Commemorating the life and legacy of President Abraham Lincoln on the bicentennial of his birth, On Motion to Suspend the Rules and Agree"
Passed,-0.02346028981934811,0.01505439347444286,-267.0,193.0,-37.0,230.0,"Stop Child Abuse in Residential Programs for Teens Act, On Motion to Suspend the Rules and Pass"
Passed,-0.02313750214196485,0.013180915318317636,-258.0,200.0,-29.0,229.0,"Guam World War II Loyalty Recognition Act, On Motion to Suspend the Rules and Pass"
Passed,-0.028870795944448732,-0.01807413318266789,-65.0,395.0,165.0,230.0,"Box Elder Utah Land Conveyance Act, On Motion to Suspend the Rules and Pass"
Passed,-0.01745173946232198,0.02977884365633312,-349.0,79.0,-135.0,214.0,", On Approving the Journal"
Passed,-0.0256281380084586,0.01189005398542991,-262.0,228.0,-17.0,245.0,"Captive Primate Safety Act, On Motion to Suspend the Rules and Pass"
Passed,-0.03026577700785151,-0.01296448064059748,-112.0,386.0,137.0,249.0,"South Orange County Recycled Water Enhancement Act, On Motion to Suspend the Rules and Pass"
Passed,-0.030930001177413746,-0.01828700969562554,-78.0,420.0,171.0,249.0,"Recognizing the significance of Black History Month, On Motion to Suspend the Rules and Agree"
Passed,-0.030859869723526903,-0.01775016894966365,-81.0,417.0,168.0,249.0,"Colonel John H. Wilson, Jr. Post Office Building, On Motion to Suspend the Rules and Pass"
Passed,-0.01737608417268941,0.02926599413222089,-339.0,77.0,-131.0,208.0,", On Approving the Journal"
Passed,-0.030820078692216677,-0.018782367224933105,-73.0,421.0,174.0,247.0,"Supporting the goals and ideals of Peace Officers Memorial Day, On Motion to Suspend the Rules and Agree"
Passed,-0.03049521667073276,-0.018210856137961227,-75.0,413.0,169.0,244.0,"Supporting the goals and ideals of the third annual America Saves Week, On Motion to Suspend the Rules and Agree"
Passed,-0.017498839960869223,0.03473762103984078,-393.0,57.0,-168.0,225.0,"Providing for consideration of H.R. 1105, the Omnibus Appropriations for 2009, On Consideration of the Resolution"
Passed,-0.028586742723683303,-0.01330682631790524,-94.0,368.0,137.0,231.0,"Providing for consideration of H.R. 1105, the Omnibus Appropriations for 2009, On Ordering the Previous Question"
Passed,-0.029438605347368446,-0.012391178614833288,-110.0,374.0,132.0,242.0,"Providing for consideration of H.R. 1105, the Omnibus Appropriations for 2009, On Agreeing to the Resolution"
Passed,-0.017399307251572238,0.031758081085973805,-351.0,67.0,-142.0,209.0,"Omnibus Appropriations Act, 2009, On Passage"
Passed,-0.015790121552244418,0.03339225864628732,-370.0,44.0,-163.0,207.0,"Flake of Arizona Privileged Resolution, On Motion to Table"
Passed,-0.01750942099171692,0.035517868801722745,-399.0,55.0,-172.0,227.0,"Providing for consideration of H.R. 1106 to prevent mortgage foreclosures and enhance mortgage credit availability, On Ordering the Previous Question"
Passed,-0.014871659091006354,0.03561715442318425,-370.0,26.0,-172.0,198.0,"Providing for consideration of H.R. 1106 to prevent mortgage foreclosures and enhance mortgage credit availability, On Agreeing to the Resolution"
Passed,-0.029560090710563397,-0.017185007115241947,-77.0,399.0,161.0,238.0,"Expressing condolences to the families, friends, and loved ones of the victims of the crash of Continental Connection Flight 3407, and for other purposes, On Motion to Suspend the Rules and Agree"
Passed,-0.029205078063933996,-0.014578986619681338,-93.0,381.0,144.0,237.0,"Revolutionary War and War of 1812 Battlefield Protection Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.030019177396025193,-0.014204041660360246,-101.0,389.0,144.0,245.0,"Civil War Battlefield Preservation Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.03042536180568807,-0.018134023019676457,-76.0,414.0,169.0,245.0,"Congratulating the University of Mary Washington in Fredericksburg, Virginia, for more than 100 years of service and leadership to the United States, On Motion to Suspend the Rules and Agree"
Passed,-0.030703177381301818,-0.018667639968414387,-73.0,419.0,173.0,246.0,"Recognizing Beverly Eckert’s service to the Nation and particularly to the survivors and families of the September 11, 2001, attacks., On Motion to Suspend the Rules and Agree"
Passed,-0.030598782266204272,-0.01871455124405979,-72.0,418.0,173.0,245.0,"Recognizing and honoring the employees of the Department of Homeland Security on its sixth anniversary for their continuous efforts to keep the nation safe., On Motion to Suspend the Rules and Agree"
Passed,-0.030360589099039544,-0.01864641067546938,-71.0,415.0,172.0,243.0,"Raising awareness and promoting education on the criminal justice system by establishing March as “National Criminal Justice Month”., On Motion to Suspend the Rules and Agree"
Passed,-0.018039261517702982,0.03577791748156405,-406.0,58.0,-174.0,232.0,"Providing for further consideration of the bill (H.R. 1106) to prevent mortgage foreclosures and enhance mortgage credit availability, On Agreeing to the Resolution"
Passed,-0.030379007399647284,-0.01897868933219803,-69.0,417.0,174.0,243.0,"Designating March 2, 2009, as “Read Across America Day”, On Motion to Suspend the Rules and Agree"
Passed,-0.030276761607281863,-0.01901335301442274,-68.0,416.0,174.0,242.0,"Supporting the goals and ideals of Multiple Sclerosis Awareness Week., On Motion to Suspend the Rules and Agree"
Agreed to,-0.02039317379474243,0.03302325919284131,-402.0,94.0,-154.0,248.0,", On Agreeing to the Amendment"
Failed,0.012609573054416977,-0.035319444855818706,350.0,-2.0,174.0,-176.0,", On Agreeing to the Amendment"
Agreed to,-0.030816979890696244,-0.01759739419825794,-82.0,416.0,167.0,249.0,", On Agreeing to the Amendment"
Failed,0.018270344023767156,-0.03621162321424238,408.0,-60.0,174.0,-234.0,"Helping Families Save Their Homes Act of 2009, On Motion to Recommit with Instructions"
Passed,-0.01596730787336214,0.034005883536563815,-363.0,43.0,-160.0,203.0,"Helping Families Save Their Homes Act of 2009, On Passage"
Passed,-0.015231683467212879,0.032662382544866024,-353.0,41.0,-156.0,197.0,"Raising a question of the privileges of the House., On Motion to Table"
Passed,-0.025039906955716444,-0.016617264988697884,-49.0,347.0,149.0,198.0,"Commending the University of Southern California Trojan football team for its victory in the 2009 Rose Bowl, On Motion to Suspend the Rules and Agree"
Passed,-0.015784241788582804,0.024607030859785852,-296.0,78.0,-109.0,187.0,", On Approving the Journal"
Failed,0.016579949825753688,-0.03223594139751528,362.0,-58.0,152.0,-210.0,"Making further continuing appropriations for fiscal year 2009, and for other purposes, On Motion to Recommit with Instructions"
Passed,-0.025209761402948193,-0.0007276626374266551,-166.0,278.0,56.0,222.0,"Making further continuing appropriations for fiscal year 2009, and for other purposes, On Passage"
Passed,-0.02867378671924687,-0.014314405793176417,-90.0,372.0,141.0,231.0,"Expressing the sense of the House of Representatives that providing breakfast in schools through the National School Breakfast Program has a positive impact on classroom performance, On Motion to Suspend the Rules and Agree"
Passed,-0.028883877902503723,-0.015314691362754264,-85.0,379.0,147.0,232.0,"Congratulating the National Assessment Governing Board on its 20th Anniversary in measuring student academic achievement, On Motion to Suspend the Rules and Agree"
Passed,-0.025071757857767843,-0.01888941807735527,-36.0,352.0,158.0,194.0,"Ronald Reagan Centennial Commission Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.01561662353370064,0.03317545229873596,-360.0,44.0,-158.0,202.0,"Flake Privilege Resolution, On Motion to Table"
Passed,-0.031304627755283414,-0.01890838128941138,-75.0,427.0,176.0,251.0,"J. Herbert W. Small Federal Building and United States Courthouse, On Motion to Suspend the Rules and Pass"
Passed,-0.031144505705358837,-0.018636824310973337,-76.0,424.0,174.0,250.0,"R. Jess Brown United States Courthouse, On Motion to Suspend the Rules and Pass"
Passed,-0.030890662313615116,-0.01847484853512129,-75.0,421.0,173.0,248.0,"Recognizing and commending the National Aeronautics and Space Administration (NASA), the Jet Propulsion Laboratory (JPL), and Cornell University for the success of the Mars Exploration Rovers, Spirit and Opportunity, on the 5th anniversary of their successful landing, On Motion to Suspend the Rules and Agree"
Failed,-0.022176666813261213,0.026343890577243727,-352.0,138.0,-107.0,245.0,"Omnibus Public Land Management Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.030497377310639878,-0.018705503255006303,-71.0,417.0,173.0,244.0,"Authorizing the use of the Capitol Grounds for the National Peace Officers’ Memorial Service, On Motion to Suspend the Rules and Agree"
Passed,-0.0309662518737287,-0.01862097291106913,-74.0,422.0,174.0,248.0,"Urging the President to designate 2009 as the “Year of the Military Family”, On Motion to Suspend the Rules and Agree"
Passed,-0.03061612554916839,-0.01859962785059529,-72.0,418.0,173.0,245.0,"Calling on the central authority of Brazil to immediately discharge all judicial proceedings as a matter of extreme urgency to obtain the return of Sean Goldman to his father, David Goldman, for immediate return to the United States, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.030897411878794592,-0.018585937490822668,-75.0,421.0,173.0,248.0,"Recognizing the plight of the Tibetan people on the 50th anniversary of His Holiness the Dalai Lama being forced into exile and calling for a sustained multilateral effort to bring about a durable and peaceful solution to the Tibet issue, On Motion to Suspend the Rules and Agree"
Failed,0.022018272829267053,-0.025482582128915614,347.0,-139.0,104.0,-243.0,", On Agreeing to the Amendment"
Passed,-0.025053003030188262,0.013877459855019854,-272.0,216.0,-28.0,244.0,"Federal Water Pollution Control Act Authorization Amendments, On Passage"
Passed,-0.028525541288898684,-0.01598457013695853,-77.0,381.0,152.0,229.0,"Supporting the designation of Pi Day, and for other purposes, On Motion to Suspend the Rules and Agree"
Passed,-0.028709452512377172,-0.015836424795365775,-82.0,384.0,151.0,233.0,"John Scott Challis, Jr. Post Office, On Motion to Suspend the Rules and Pass"
Passed,-0.02877341421676914,-0.015629564688692702,-84.0,384.0,150.0,234.0,"Specialist Peter J. Navarro Post Office Building, On Motion to Suspend the Rules and Pass"
Passed,-0.02868351704513477,-0.015841075135620615,-82.0,384.0,151.0,233.0,"Major Ed W. Freeman Post Office, On Motion to Suspend the Rules and Pass"
Passed,-0.030952255635416145,-0.018372668557057326,-77.0,421.0,172.0,249.0,"To support the goals and ideals of Professional Social Work Month and World Social Work Day, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.030724016947624992,-0.018310992737538143,-76.0,418.0,171.0,247.0,"Supporting the goals and ideals of National Women’s History Month, On Motion to Suspend the Rules and Agree"
Passed,-0.030357600116873072,-0.016088374429021692,-90.0,402.0,156.0,246.0,"To establish a pilot program in certain United States district courts to encourage enhancement of expertise in patent cases among district judges, On Motion to Suspend the Rules and Pass"
Passed,-0.01595262692261277,0.034982110578926195,-387.0,39.0,-174.0,213.0,"Providing for consideration of H.R. 1388, to reauthorize and reform the national service laws, On Ordering the Previous Question"
Passed,-0.01931592015569802,0.03535883443239232,-416.0,74.0,-171.0,245.0,"Providing for consideration of H.R. 1388, to reauthorize and reform the national service laws, On Agreeing to the Resolution"
Agreed to,-0.029316023149518616,-0.006636905911899835,-148.0,346.0,99.0,247.0,", On Agreeing to the Amendment"
Agreed to,-0.01961397603168552,0.0325272716927376,-391.0,87.0,-152.0,239.0,", On Agreeing to the Amendment"
Failed,0.01936558890690298,-0.03524309778532954,411.0,-75.0,168.0,-243.0,", On Agreeing to the Amendment"
Agreed to,-0.028176579259559315,-0.0006971611228366438,-185.0,309.0,62.0,247.0,", On Agreeing to the Amendment"
Agreed to,-0.02195342765052296,0.027294799399442887,-360.0,130.0,-115.0,245.0,", On Agreeing to the Amendment"
Agreed to,-0.026279960327975565,0.01051686001961763,-258.0,240.0,-9.0,249.0,", On Agreeing to the Amendment"
Passed,-0.00936871372945526,-0.0281388903085662,135.0,213.0,174.0,39.0,"Generations Invigorating Volunteerism and Education (GIVE) Act, On Motion to Recommit with Instructions"
Passed,-0.02561624808948861,0.01501393929978542,-285.0,217.0,-34.0,251.0,"Generations Invigorating Volunteerism and Education (GIVE) Act, On Passage"
Passed,-0.01550676870555576,0.03258720767464138,-354.0,46.0,-154.0,200.0,", On Motion to Table"
Passed,-0.01825512808894681,0.03583862704014646,-406.0,62.0,-172.0,234.0,"Providing for consideration of motions to suspend the rules, On Ordering the Previous Question"
Passed,-0.025222078428450468,0.009776850012532843,-239.0,235.0,-2.0,237.0,"To impose an additional tax on bonuses received from certain TARP recipients., On Motion to Suspend the Rules and Pass"
Failed,-0.019884325677955485,0.031552462766130655,-389.0,95.0,-147.0,242.0,"Expressing the sense of the Congress regarding executive and employee bonuses paid by AIG and other companies assisted with taxpayer funds provided under the Troubled Assets Relief Program of the Secretary of the Treasury., On Motion to Suspend the Rules and Agree"
Passed,-0.028727886395281618,-0.01870985757161046,-60.0,396.0,168.0,228.0,"Stan Lundine Post Office Building Designation, On Motion to Suspend the Rules and Pass"
Passed,-0.029019853180841534,-0.018648403048259918,-63.0,399.0,168.0,231.0,"Lance Corporal Drew W. Weaver Post Office Building Designation, On Motion to Suspend the Rules and Pass"
Passed,-0.03044140259257908,-0.017258952787847854,-81.0,409.0,164.0,245.0,"Department of Homeland Security Component Privacy Act of 2009, On Motion to Suspend the Rules and Pass"
Passed,-0.030113123491263417,-0.013430571337308303,-106.0,386.0,140.0,246.0,"Nuclear Forensics and Attribution Act, On Motion to Suspend the Rules and Pass"
Passed,-0.030393775875503598,-0.018277147219965113,-73.0,415.0,171.0,244.0,"Expressing support for designation of the week of March 1 through March 8, 2009, as “School Social Work Week”., On Motion to Suspend the Rules and Agree"
Passed,-0.018151388304257842,0.03520650552683499,-402.0,62.0,-170.0,232.0,"Providing for consideration of the Senate amendments to H.R. 146, the Omnibus Public Land Management Act, On Ordering the Previous Question"
Passed,-0.018988102364349838,0.03552062507010917,-416.0,70.0,-173.0,243.0,"Providing for consideration of the Senate amendments to H.R. 146, the Omnibus Public Land Management Act, On Agreeing to the Resolution"
Passed,-0.031014144738622556,-0.01870664907696957,-75.0,423.0,174.0,249.0,"Special Inspector General for the Troubled Asset Relief Program Act, On Motion to Suspend the Rules and Pass"
Passed,-0.022327816314197627,0.02475238949188456,-341.0,145.0,-98.0,243.0,"Omnibus Public Land Management Act of 2009, On Motion to Concur in Senate Amendments"
Passed,-0.031085677017219464,-0.01847291325087408,-77.0,423.0,173.0,250.0,"Recognizing the 188th anniversary of the independence of Greece and celebrating Greek and American democracy, On Motion to Suspend the Rules and Agree"
Passed,-0.014930632087640708,0.03239372049803329,-347.0,41.0,-153.0,194.0,"Raising a question of the privileges of the House regarding earmarks and campaign contributions, On Motion to Table"
Passed,-0.01917562816445784,0.03558075740279262,-419.0,73.0,-173.0,246.0,"Rule providing for the consideration of H.R. 1404, the Federal Land Assistance, Managment, and Enhancement Act, On Agreeing to the Resolution"
Agreed to,-0.030446169079373274,-0.018505100020730494,-73.0,415.0,171.0,244.0,"Federal Land Assistance, Managment and Enhancement Act, On Agreeing to the Amendment"
Agreed to,-0.03046318982197883,-0.01848445165903506,-73.0,415.0,171.0,244.0,", On Agreeing to the Amendment"
Agreed to,-0.030592890184278385,-0.018616332032327803,-73.0,417.0,172.0,245.0,", On Agreeing to the Amendment"
Agreed to,-0.030153682398644948,-0.018375379746942106,-71.0,411.0,170.0,241.0,", On Agreeing to the Amendment"
Failed,0.020354586178785442,-0.026109270431653033,335.0,-119.0,108.0,-227.0,", On Agreeing to the Amendment"
Passed,-0.03036490531475144,-0.017846082843085222,-77.0,409.0,166.0,243.0,"Federal Land Assistance, Managment and Enhancement Act, On Passage"
Passed,-0.013779302434430077,0.03035504447340612,-325.0,37.0,-144.0,181.0,"Raising a question of the privileges of the House, On Motion to Table"
Passed,-0.029425092261778786,-0.014748563637597687,-93.0,383.0,145.0,238.0,"Melanie Blocker Stokes MOTHERS Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.029221606298872195,-0.015491359253402883,-86.0,384.0,149.0,235.0,"Wakefield Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.01860164795325607,0.03510177348583974,-413.0,67.0,-173.0,240.0,"Providing for the consideration of the Senate amendments to H.R. 1388, On Agreeing to the Resolution"
Passed,-0.030196906920336577,-0.016170889007661827,-87.0,399.0,156.0,243.0,"Dextromethorphan Distribution Act, On Motion to Suspend the Rules and Pass"
Passed,-0.030557128202955534,-0.018818278140855276,-71.0,417.0,173.0,244.0,"Recognizing the 30th anniversary of the peace treaty between Egypt and Israel, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.021736350191630293,0.028408008645224827,-373.0,127.0,-123.0,250.0,"Generations Invigorating Volunteerism and Education (GIVE) Act, On Motion To Concur in the Senate Amendments"
Passed,-0.03044207124424365,-0.012882580041860428,-111.0,387.0,138.0,249.0,"Vision Care for Kids Act of 2009, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.03096848157465259,-0.018357238012775102,-77.0,419.0,171.0,248.0,"Health Insurance Restrictions and Limitations Clarification Act, On Motion to Suspend the Rules and Pass"
Passed,-0.022181273662561358,0.023052074275648097,-326.0,152.0,-87.0,239.0,"Providing for the expenses of certain committees of the House of Representatives in the One Hundred Eleventh Congress, On Agreeing to the Resolution"
