Pelosi,-0.019809728324504325,0.035681216171963945,-429.0,81.0,-174.0,255.0,", Election of the Speaker"
Passed,-0.017945871142475565,-0.002150110566750383,-108.0,204.0,48.0,156.0,"Recognizing the region from Manhattan, Kansas, to Columbia, Missouri, as the Kansas City Animal Health Corridor, and for other purposes, On Motion to Suspend the Rules and Agree"
Passed,-0.02944089984570731,-0.008606133357591935,-136.0,356.0,110.0,246.0,"United States Postal Service Financial Relief Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.030439706872764677,-0.018537331896671526,-74.0,414.0,170.0,244.0,"To amend title 39, United States Code, to provide clarification relating to the authority of the United States Postal Service to accept donations as an additional source of funding for commemorative plaques, On Motion to Suspend the Rules and Pass"
Passed,-0.01821433700757818,0.03538270993471941,-408.0,62.0,-173.0,235.0,"Providing for consideration of the bill (H.R. 3221) to amend the Higher Education Act of 1965, and for other purposes, On Agreeing to the Resolution"
Passed,-0.030463057344785407,-0.018585059351073144,-73.0,415.0,171.0,244.0,"Supporting efforts to reduce infant mortality in the United States., On Motion to Suspend the Rules and Agree, As Amended"
Failed,0.0176362231052923,-0.03248026560541492,364.0,-68.0,148.0,-216.0,", On Agreeing to the Amendment"
Agreed to,-0.027124840427204998,-0.0012231016718003288,-179.0,301.0,61.0,240.0,", On Agreeing to the Amendment"
Agreed to,-0.030868435122328758,-0.013928025178183678,-108.0,396.0,144.0,252.0,", On Agreeing to the Amendment"
Failed,0.01797599500986311,-0.03410967807237937,379.0,-65.0,157.0,-222.0,"Advanced Vehicle Technology Act, On Motion to Recommit with Instructions"
Passed,-0.024773742202560036,0.017715916819963724,-300.0,198.0,-51.0,249.0,"Advanced Vehicle Technology Act, On Passage"
Failed,0.019711253028109242,-0.03070655927267187,374.0,-96.0,139.0,-235.0,", On Agreeing to the Amendment"
Failed,0.018885755340310305,-0.0332345039011369,394.0,-78.0,158.0,-236.0,", On Agreeing to the Amendment"
Failed,0.023638799854949346,-0.022085188832286842,332.0,-170.0,81.0,-251.0,", On Agreeing to the Amendment"
Agreed to,-0.03113690386979343,-0.018237093822881627,-80.0,420.0,170.0,250.0,", On Agreeing to the Amendment"
Agreed to,-0.03124704058253787,-0.018378635477401716,-80.0,422.0,171.0,251.0,", On Agreeing to the Amendment"
Agreed to,-0.0311847103105187,-0.017119909654034687,-88.0,414.0,163.0,251.0,", On Agreeing to the Amendment"
Agreed to,-0.030924477693700974,-0.018520788732670677,-77.0,419.0,171.0,248.0,", On Agreeing to the Amendment"
Failed,0.0202742708419348,-0.0333925540239579,408.0,-94.0,157.0,-251.0,", On Agreeing to the Amendment"
Passed,-0.015479700014073481,-0.02597200999559816,76.0,270.0,173.0,97.0,"Student Aid and Fiscal Responsibility Act of 2009, On Motion to Recommit with Instructions"
Passed,-0.019365833214555993,0.033888157911371265,-405.0,83.0,-161.0,244.0,"Student Aid and Fiscal Responsibility Act of 2009, On Passage"
Passed,-0.0303303914806024,-0.018473877982756095,-74.0,412.0,169.0,243.0,"Honoring the historical contributions of Catholic sisters in the United States, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.030182276952894743,-0.018615080427245457,-71.0,411.0,170.0,241.0,"To designate the facility of the United States Postal Service located at 630 Northeast Killingsworth Avenue in Portland, Oregon, as the “Dr. Martin Luther King, Jr. Post Office”, On Motion to Suspend the Rules and Pass"
Passed,-0.023829735602951922,0.0022548435961195945,-172.0,248.0,38.0,210.0,"Unemployment Compensation Extension Act of 2009, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.018667761592435727,0.035440750601684196,-409.0,67.0,-171.0,238.0,"Providing for consideration of the bill (H.R. 324), the “Santa Cruz Valley National Heritage Area Act”, On Agreeing to the Resolution"
Passed,-0.0309348383743731,-0.018834687933964183,-75.0,421.0,173.0,248.0,"Expressing condolences to the families of the individuals killed during unusal storms and floods in the State of Georgia between September 18 and 21, 2009, and expressing gratitude to all of the emergency personnel who continue to work with unyielding determination to meet the needs of Georgia’s residents, On Motion to Suspend the Rules and Agree"
