"
",>>>>>,Lower,Left,<<<<<,"
"
Failed,-0.03541915624900935,0.05372889452293497,99.0,-425.0,-163.0,-262.0,", On Agreeing to the Amendment"
Failed,-0.0343868221704806,0.051961220918546935,100.0,-408.0,-154.0,-254.0,"ECONOMIC GROWTH ACCELERATION ACT OF 1992, TABLE MOTION TO INSTRUCT"
"
",>>>>>,Lower,Right,<<<<<,"
"
Passed,0.037639915289474746,0.0392182038231559,-359.0,39.0,-160.0,199.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 3371; OMNIBUS CRIME CONTROL ACT OF 1991, On Agreeing to the Resolution"
Passed,0.04223925998028966,0.034596888453150065,-397.0,75.0,-161.0,236.0,"PROVIDING FOR THE CONSIDERATION OF H.CON.RES. 287; BUDGET FOR THE U.S. GOVERNMENT FOR FY 1993, On Ordering the Previous Question"
Passed,0.03995922540751809,0.036946810842554474,-378.0,56.0,-161.0,217.0,"PROVIDING FOR THE CONSIDERATION OF H.CON.RES. 287; BUDGET FOR THE U.S. GOVERNMENT FOR FY 1993, On Agreeing to the Resolution"
Passed,0.040475882567894875,0.035429854480294044,-386.0,64.0,-161.0,225.0,"PROVIDING FOR FURTHER CONSIDERATION OF H.R. 3732; TO AMEND THE CONGRESSIONAL BUDGET ACT, ORDERING THE PREVIOUS QUESTION"
Passed,0.03842575774943045,0.035794895675837574,-363.0,49.0,-157.0,206.0,"PRIVILEDGE OF THE HOUSE, ON MOTION TO TABLE"
Passed,0.04105093250945482,0.03470266783562166,-386.0,68.0,-159.0,227.0,"PRIVILEDGE OF THE HOUSE, ON MOTION TO TABLE"
Passed,0.03811761862920821,0.03635813691685857,-363.0,49.0,-157.0,206.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 5260, UNEMPLOYMENT COMPENSATION AMENDMENTS OF 1992, On Ordering the Previous Question"
Passed,0.037495399955036667,0.03718498875068693,-358.0,42.0,-158.0,200.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 5260, UNEMPLOYMENT COMPENSATION AMENDMENTS OF 1992, On Agreeing to the Resolution"
Passed,0.040253625559024064,0.034528773863687176,-390.0,64.0,-163.0,227.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 5427; LEGISLATIVE BRANCH APPROPRIATIONS FOR FY 1993, On Agreeing to the Resolution"
Passed,0.04137334332677999,0.03449965397089112,-394.0,68.0,-163.0,231.0,"PROVIDING FOR CONSIDERATION OF H.R. 5368; FOREIGN OPERATIONS APPROPRIATIONS FOR FY 1993, On Agreeing to the Resolution"
