"
",>>>>>,Lower,Left,<<<<<,"
"
Failed,-0.0071638481705466345,0.05696689887873532,-47.0,-393.0,-220.0,-173.0,", On Motion to Adjourn"
Failed,-0.0066475706832522,0.06081260388864262,-39.0,-419.0,-229.0,-190.0,", On Motion to Adjourn"
Failed,-0.006916047352931996,0.06011469840710343,-42.0,-416.0,-229.0,-187.0,", On Motion to Adjourn"
Failed,-0.005590726807812213,0.060422308307577215,-26.0,-414.0,-220.0,-194.0,", On Motion to Adjourn"
Failed,-0.006363663699653423,0.061257889263977974,-36.0,-420.0,-228.0,-192.0,", On Motion to Adjourn"
Failed,-0.007712061607897651,0.057980706277402594,-53.0,-399.0,-226.0,-173.0,", On Motion to Adjourn"
Failed,-0.0064559204656624595,0.059998594513283765,-37.0,-411.0,-224.0,-187.0,", On Agreeing to the Amendment"
Failed,-0.007563662607519086,0.05486278467411912,-50.0,-374.0,-212.0,-162.0,", On Motion to Adjourn"
"
",>>>>>,Lower,Right,<<<<<,"
"
Failed,-0.03747036247867972,-0.004865528193211428,-421.0,-35.0,-228.0,193.0,"Adopting rules for the One Hundred Thirteenth Congress, On Motion to Commit"
Failed,-0.03707743067633718,-0.004963477077407628,-416.0,-34.0,-225.0,191.0,", On Agreeing to the Amendment"
Failed,-0.037608832845956425,-0.004877214882239126,-421.0,-35.0,-228.0,193.0,"To require that, if the President’s fiscal year 2014 budget does not achieve balance in a fiscal year covered by such budget, the President shall submit a supplemental unified budget by April 1, 2013, which identifies a fiscal year in which balance is achieved, and for other purposes, On Motion to Recommit with Instructions"
Failed,-0.03731561669551371,-0.0036374892817334636,-413.0,-43.0,-228.0,185.0,"Department of Defense, Military Construction and Veterans Affairs, and Full-Year Continuing Appropriations Act, 2013, On Motion to Recommit with Instructions"
Failed,-0.03810064399225626,-0.005506091810987754,-427.0,-31.0,-229.0,198.0,"To prohibit waivers relating to compliance with the work requirements for the program of block grants to States for temporary assistance for needy families, and for other purposes, On Motion to Recommit with Instructions"
Failed,-0.037256038713810696,-0.005101712245671307,-417.0,-35.0,-226.0,191.0,", On Agreeing to the Amendment"
Failed,-0.03699830423131999,-0.002617604412535625,-405.0,-49.0,-227.0,178.0,"Supporting Knowledge and Investing in Lifelong Skills Act, On Motion to Recommit with Instructions"
Failed,-0.0372630181929496,-0.0036481345965819452,-411.0,-43.0,-227.0,184.0,", On Agreeing to the Amendment"
Failed,-0.03693110652568819,-0.005250712723373246,-412.0,-32.0,-222.0,190.0,"To authorize all Bureau of Reclamation conduit facilities for hydropower development under Federal Reclamation law, and for other purposes, On Motion to Recommit with Instructions"
Failed,-0.03768861183725483,-0.005468262890259868,-424.0,-32.0,-228.0,196.0,"Preventing Greater Uncertainty in Labor-Management Relations Act, On Motion to Recommit with Instructions"
Failed,-0.03667161316449902,-0.004723993592495393,-411.0,-35.0,-223.0,188.0,"Cyber Intelligence Sharing and Protection Act, On Motion to Recommit with Instructions"
Failed,-0.03513501679742716,-0.0059151071260436835,-393.0,-25.0,-209.0,184.0,"To amend the Helium Act to complete the privatization of the Federal helium reserve in a competitive market fashion that ensures stability in the helium markets while protecting the interests of American taxpayers, and for other purposes, On Motion to Recommit with Instructions"
Failed,-0.03791808023304692,-0.006228908283182353,-425.0,-27.0,-226.0,199.0,"To amend the Fair Labor Standards Act of 1938 to provide compensatory time for employees in the private sector, On Motion to Recommit with Instructions"
Failed,-0.03766867560747157,-0.005893681053211654,-423.0,-27.0,-225.0,198.0,"To require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached, On Motion to Recommit with Instructions"
Failed,-0.03725093333009853,-0.004045076821945091,-412.0,-40.0,-226.0,186.0,"To repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010, On Motion to Recommit with Instructions"
Failed,-0.035190320521109396,-0.003788394433007884,-392.0,-38.0,-215.0,177.0,"To improve the consideration by the Securities and Exchange Commission of the costs and benefits of its regulations and orders, On Motion to Recommit with Instructions"
Failed,-0.03590269571114515,-0.0025027432527056346,-390.0,-46.0,-218.0,172.0,", On Agreeing to the Amendment"
Failed,-0.03729101565031075,-0.005813665074969529,-417.0,-29.0,-223.0,194.0,"To approve the construction, operation, and maintenance of the Keystone XL pipeline, and for other purposes, On Motion to Recommit with Instructions"
Failed,-0.03716385331477858,-0.0058178853588302,-415.0,-29.0,-222.0,193.0,"Smarter Solutions for Students Act, On Motion to Recommit with Instructions"
