H116,447.53595796945467,286.32815802493593,203,236,1
H115,535.9082611348542,346.2608838062746,251,200,0
H100,394.80303470249953,288.34906946897166,180,262,0
H101,378.7787053532471,270.730061938172,181,265,0
H102,381.36079594893204,276.32601425869416,171,270,1
H103,441.90181523618185,312.4855850288569,180,262,1
H095,476.9099063778891,309.7974333574392,147,295,0
H096,407.70944408701837,314.76080770140777,161,282,0
H097,340.05595135763934,242.90547981627375,197,247,1
H098,364.28872079417687,273.28059040407584,169,272,0
H099,363.41639782023213,270.98332283542766,183,257,0
H100,394.80303470249953,288.34906946897166,180,262,0
H101,378.7787053532471,270.730061938172,181,265,0
H102,381.36079594893204,276.32601425869416,171,270,1
H103,441.90181523618185,312.4855850288569,180,262,1
H104,509.53615335320995,324.2502012636244,236,209,1
H105,432.7150620260551,373.05062816314586,231,213,1
H106,447.15992660199896,384.0273377239786,225,214,2
H107,430.7125321193466,348.31975510309576,229,214,2
H108,463.06722120502724,419.1175299564236,232,208,1
H109,452.3098620669704,413.60922761759764,237,203,1
H110,611.8961833822232,481.8207158753222,207,242,0
H111,589.6670837362462,455.72206878233646,183,264,0
H112,618.6486460447989,333.6363975326435,245,201,0
H113,530.3677278490677,320.9846662615458,240,205,0
H114,586.111771265941,324.4765386937025,251,190,0
H115,535.9082611348542,346.2608838062746,251,200,0
H116,447.53595796945467,286.32815802493593,203,236,1
H095,476.9099063778891,309.7974333574392,147,295,0
H096,407.70944408701837,314.76080770140777,161,282,0
H097,340.05595135763934,242.90547981627375,197,247,1
H098,364.28872079417687,273.28059040407584,169,272,0
H099,363.41639782023213,270.98332283542766,183,257,0
H117,476.73651142974006,363.5164700711417,224,233,0
H117,476.73651142974006,363.5164700711417,224,233,0
HS117,486.1976385382005,370.74425566856036,275,282,2
HS117,486.1976385382005,370.74425566856036,275,282,2
H117,476.73651142974006,363.5164700711417,224,233,0
