Failed,-2.660043505982967e-18,5.0637576109395214e-17,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,-2.353687947735082e-18,-1.8401278633609386e-18,0.0,0.0,0.0,0.0,"DIRE EMERGENCY SUPPLEMENTAL APPROPRIATIONS, On Passage"
Passed,1.6414288794001291e-18,1.0262083735524993e-17,0.0,0.0,0.0,0.0,"SUPPLEMENTAL APPROPRIATIONS FOR OPERATION DESERT SHIELD/DESERT STORM, On Passage"
Passed,-1.9256162862246778e-18,1.95131330994949e-18,0.0,0.0,0.0,0.0,"PERMITTING USE OF THE ROTUNDA OF THE CAPITOL FOR A CEREMONY TO COMMEMORATE THE DAYS OF REMEMBRANCE OF VICTIMS OF THE HOLOCAUST, SUSPEND THE RULES AND AGREE AS AMENDED"
Passed,1.796030306313643e-18,1.86125626777429e-18,0.0,0.0,0.0,0.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 1315; TO PROVIDE ADDITIONAL FUNDING FOR THE RESOLUTION TRUST CORPORATION, On Agreeing to the Resolution"
Failed,-3.5663971266379e-18,-1.4263508893178362e-17,0.0,0.0,0.0,0.0,", ON AGREEING TO THE AMENDMENT"
Failed,2.6809006973433394e-20,2.487513222543067e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,5.6627852063043045e-18,-4.350099998672809e-18,0.0,0.0,0.0,0.0,", ON AGREEING TO THE AMENDMENT"
Failed,-2.2278842923327613e-18,8.66160168643898e-18,0.0,0.0,0.0,0.0,"RESOLUTION TRUST CORPORATION FUNDING ACT OF 1991, On Passage"
Passed,4.78228008169726e-19,1.954033006716859e-18,0.0,0.0,0.0,0.0,", On Approving the Journal"
Passed,-5.918345483336875e-18,-1.137778009311662e-18,0.0,0.0,0.0,0.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 1175; DESERT STORM EMERGENCY AUTHORIZATION, On Agreeing to the Resolution"
Failed,-7.95800681250572e-18,8.91042829588093e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-3.5084202164129567e-19,3.6115116835022925e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-3.2154959162834823e-18,7.395321393812081e-18,0.0,0.0,0.0,0.0,"NATIONAL DEFENSE SUPPLEMENTAL AUTHORIZATION ACT FOR FISCAL YEAR 1991, On Motion to Recommit with Instructions"
Passed,2.635871112799462e-19,3.105888842599527e-18,0.0,0.0,0.0,0.0,"NATIONAL DEFENSE SUPPLEMENTAL AUTHORIZATION ACT FOR FISCAL YEAR 1991, On Passage"
