Boehner,-0.02922694898919777,0.004836111866541515,360.0,24.0,192.0,-168.0,", Election of the Speaker"
Passed,-0.033048087240386326,0.0023596136804424493,404.0,60.0,232.0,-172.0,"Providing for consideration of the bill (H.R. 1644) STREAM Act ; providing for consideration of the joint resolution (S.J.Res. 22) congressional disapproval of the rule submitted by the Corps of Engineers and the EPA relating to “waters of the U.S.”; and consideration of (H.R. 3662) Iran Terror Finance Transparency Act, On Ordering the Previous Question"
Passed,-0.0343249616371898,0.003379814519640307,422.0,56.0,239.0,-183.0,"Providing for consideration of the bill (H.R. 1644) STREAM Act; providing for consideration of the joint resolution (S.J.Res. 22) congressional disapproval of the rule submitted by the Corps of Engineers and the EPA relating to “waters of the U.S.”; and consideration of (H.R. 3662) Iran Terror Finance Transparency Act, On Agreeing to the Resolution"
Failed,0.0310349484700758,-0.005956370871484688,-376.0,-34.0,-205.0,171.0,", On Agreeing to the Amendment"
Failed,0.03061284350646857,-0.008876086546474524,-372.0,-16.0,-194.0,178.0,", On Agreeing to the Amendment"
Failed,0.03352187805433797,-0.00514307534410793,-405.0,-45.0,-225.0,180.0,", On Agreeing to the Amendment"
Failed,0.03408156328064145,-0.003848571691721201,-417.0,-51.0,-234.0,183.0,"Supporting Transparent Regulatory and Environmental Actions in Mining (STREAM) Act, On Motion to Recommit with Instructions"
Passed,-0.03288874598788914,0.004428898718869394,395.0,47.0,221.0,-174.0,"Supporting Transparent Regulatory and Environmental Actions in Mining (STREAM) Act, On Passage"
Passed,-0.006286762317341592,-0.06028756222068428,52.0,416.0,234.0,182.0,"North Korea Sanctions Enforcement Act of 2016, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.032680828230015085,-0.0021667591813570902,393.0,87.0,240.0,-153.0,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Corps of Engineers and the Environmental Protection Agency relating to the definition of “waters of the United States” under the Federal Water Pollution Control Act, On Passage"
Passed,-0.006874314102596927,-0.048663797113522686,65.0,339.0,202.0,137.0,"Fair Investment Opportunities for Professional Experts Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.006403881553636834,-0.05633806826388018,57.0,389.0,223.0,166.0,"Small Business Capital Formation Enhancement Act, On Motion to Suspend the Rules and Pass"
Passed,-0.03366240830909149,0.0027085728071945397,412.0,58.0,235.0,-177.0,"Providing for consideration of the bill (H.R. 3700) to provide housing opportunities in the United States through modernization of various housing programs, and for other purposes., On Ordering the Previous Question"
Passed,-0.03382341673654775,0.0015934408850215003,411.0,65.0,238.0,-173.0,"Providing for consideration of the bill (H.R. 3700) to provide housing opportunities in the United States through modernization of various housing programs, and for other purposes., On Agreeing to the Resolution"
Agreed to,-0.03310810687168776,0.0021999029259109158,404.0,58.0,231.0,-173.0,", On Agreeing to the Amendment"
Failed,0.03369206381137236,-0.0028454055014122057,-412.0,-58.0,-235.0,177.0,", On Agreeing to the Amendment"
Passed,-0.006807601129424282,-0.06142360808259626,59.0,427.0,243.0,184.0,"Housing Opportunity Through Modernization Act, On Passage"
Failed,-0.03440517184878084,0.003731720020963473,419.0,55.0,237.0,-182.0,"An Act to provide for reconciliation pursuant to section 2002 of the concurrent resolution on the budget for fiscal year 2016, Passage, Objections of the President To The Contrary Notwithstanding"
Passed,-0.03451061536852237,0.0019589186278928623,421.0,65.0,243.0,-178.0,"Iran Terror Finance Transparency Act, On Passage"
Passed,-0.033828389033942544,0.002054461538769285,414.0,64.0,239.0,-175.0,"Providing for consideration of H.R. 1675, the Encouraging Employee Ownership Act of 2015, and providing for consideration of H.R. 766, the Financial Institution Customer Protection Act of 2015, On Ordering the Previous Question"
Passed,-0.03379994528714418,0.0016632730593943987,413.0,67.0,240.0,-173.0,"Providing for consideration of H.R. 1675, the Encouraging Employee Ownership Act of 2015, and providing for consideration of H.R. 766, the Financial Institution Customer Protection Act of 2015, On Agreeing to the Resolution"
Failed,0.03385893964253166,-0.0023461391209800044,-415.0,-63.0,-239.0,176.0,", On Agreeing to the Amendment"
Failed,0.029224286554692627,-0.005571976159208262,-357.0,-27.0,-192.0,165.0,", On Agreeing to the Amendment"
Failed,0.03285289228894495,0.0005048877700547442,-395.0,-75.0,-235.0,160.0,", On Agreeing to the Amendment"
Failed,0.034171045141125046,-0.003094774128261505,-419.0,-57.0,-238.0,181.0,"Encouraging Employee Ownership Act of 2015, On Motion to Recommit with Instructions"
Passed,-0.03147015582534179,-0.005907702039246286,374.0,106.0,240.0,-134.0,"Encouraging Employee Ownership Act of 2015, On Passage"
Failed,0.033882946406964175,-0.002278210326705486,-415.0,-63.0,-239.0,176.0,"Financial Institution Customer Protection Act of 2015, On Motion to Recommit with Instructions"
Passed,-0.0332231249168865,-0.0010828749579259184,399.0,81.0,240.0,-159.0,"Financial Institution Customer Protection Act of 2015, On Passage"
Passed,-0.00445985491167171,-0.055883047896511294,33.0,375.0,204.0,171.0,"9/11 Memorial Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.0339648558011434,0.0030663108980230423,415.0,57.0,236.0,-179.0,"Providing for consideration of the bill (H.R. 3442) Debt Management and Fiscal Responsibility Act, and providing for consideration of the bill (H.R. 3293) Scientific Research in the National Interest Act, On Ordering the Previous Question"
Passed,-0.03358275818409478,0.00267107256052346,410.0,58.0,234.0,-176.0,"Providing for consideration of the bill (H.R. 3442) Debt Management and Fiscal Responsibility Act, and providing for consideration of the bill (H.R. 3293) Scientific Research in the National Interest Act, On Agreeing to the Resolution"
Passed,-0.0060654983392037145,-0.059953239615649065,50.0,414.0,232.0,182.0,"Safe Drinking Water Act Improved Compliance Awareness Act, On Motion to Suspend the Rules and Pass, as Amended"
Failed,0.03327794543331975,-0.003453537791193167,-402.0,-54.0,-228.0,174.0,", On Agreeing to the Amendment"
Failed,0.03325886233884069,-0.0013208548948352755,-404.0,-64.0,-234.0,170.0,"Scientific Research in the National Interest Act, On Motion to Recommit with Instructions"
Passed,-0.032683324563217146,0.0023292118555938227,392.0,58.0,225.0,-167.0,"Scientific Research in the National Interest Act, On Passage"
Failed,0.03336669515411586,-0.004354961821310678,-408.0,-50.0,-229.0,179.0,", On Agreeing to the Amendment"
