Bioeconomy Research and Development Act,-1,-0.04106989225680738
Promoting Physical Activity for Americans Act,-1,-0.040936539321980395
Women’s Health Protection Act,-1,-0.04089577195040467
FAIR Act,-1,-0.04089056622901634
John R. Lewis Voting Rights Advancement Act,-1,-0.04088759850726918
Further Extending Government Funding Act,-1,-0.040869602729428495
Ensuring Access to Abortion Act,-1,-0.040857173164472675
Protecting Our Democracy Act,-1,-0.04073268710289798
Women’s Health Protection Act,-1,-0.040728774996688685
Assault Weapons Ban,-1,-0.04072395513332781
EVEST Act,-1,-0.0406750417921785
,-1,-0.040658007257249634
Build Back Better Act,-1,-0.040657076197042424
Mental Health Matters Act,-1,-0.04063616359055896
,-1,-0.040606707051409806
Restaurant Revitalization Fund Replenishment Act,-1,-0.04059594446944391
For the People Act,-1,-0.040577515308746225
,-1,-0.04057424041914387
,-1,-0.040553652474899476
Meat and Poultry Special Investigator Act,-1,-0.04050847415002989
"Making emergency supplemental appropriations for the fiscal year ending September 30, 2021, and for other purposes",-1,-0.04050385581448371
Consumer Protection and Recovery Act,-1,-0.04047119172502001
Advancing Telehealth Beyond COVID-19 Act,-1,-0.04045474941546687
Suspending Energy Imports from Russia Act,-1,-0.040446341887364144
Farm Workforce Modernization Act,-1,-0.04044291966010949
"Making appropriations for the Departments of Labor, Health and Human Services, and Eduction, and related agencies for the fiscal year ending September 30, 2022, and for other purposes",-1,-0.040438628746509275
George Floyd Justice in Policing Act of 2021,-1,-0.04043411064479956
Consumer Fuel Price Gouging Prevention Act,-1,-0.04042852169190215
MORE Act,-1,-0.040413198570654035
LGBTQI+ Data Inclusion Act,-1,-0.04040556895559882
Guard and Reserve GI Bill Parity Act,-1,-0.04040419507773902
,-1,-0.040384379444095723
PFAS Action Act,-1,-0.04037969684904182
"Infant Formula Supplemental Appropriations Act, 2022",-1,-0.0403756596136268
NO BAN Act,-1,-0.04035491879903453
,-1,-0.040344136244969485
ESG Disclosure Simplification Act,-1,-0.04033399286062565
"Making appropriations for Legislative Branch for the fiscal year ending September 30, 2022, and for other purposes",-1,-0.04032141397576736
,-1,-0.040312102088170834
Access to Counsel Act,-1,-0.04029195345614099
Rights for the Transportation Security Administration Workforce Act,-1,-0.04029013427302691
Bipartisan Background Checks Act,-1,-0.040280435469388705
Colorado Wilderness Act,-1,-0.0402671529611764
"Making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2022, and for other programs",-1,-0.04022904603758707
American Rescue Plan Act,-1,-0.040222148946998965
Targeting Resources to Communities in Need Act,-1,-0.04018191984984351
Protecting the Right to Organize Act,-1,-0.04017437328761011
Federal Reserve Racial and Economic Equity Act,-1,-0.04016843102160321
,-1,-0.04016649776636967
,-1,-0.04015218273231907
,-1,-0.04012184822573807
INVEST in America Act,-1,-0.040108632164858674
,-1,-0.040099401354616704
,-1,-0.04009318658808473
To repeal the Authorization for Use of Military Force Against Iraq Resolution of 2002,-1,-0.0400847790303267
Community Services Block Grant Modernization Act of 2022,-1,-0.040084664931723746
Puerto Rico Status Act,-1,-0.0400689527159295
Extending Government Funding and Delivering Emergency Assistance Act,-1,-0.04006521961994748
Continental Divide Trail Completion Act,-1,-0.040058825490557504
Protecting Our Gold Star Families Education Act,-1,-0.0400532025557547
Dream Act,-1,-0.040031372877998926
,-1,-0.0400300515920675
"To prevent across-the-board direct spending cuts, and for other purposes",-1,-0.04000676326801282
,-1,-0.039989106324604666
,-1,-0.039984932072143306
,-1,-0.039949653110106384
,-1,-0.03994263257697013
Recovering America’s Wildlife Act,-1,-0.039887991254607374
,-1,-0.03988522345902655
"Washington, D.C. Admission Act",-1,-0.03983950142236785
,-1,-0.03981694306885318
"Adopting the Rules of the House of Representatives for the One Hundred Seventeenth Congress, and for other purposes",-1,-0.03975868164704341
,-1,-0.03974729665184004
,-1,-0.039732047135190976
Enhanced Background Checks Act of 2021,-1,-0.039633394683004176
,-1,-0.039541821018445986
,-1,-0.039435299137521786
,-1,-0.03937793820928439
Affordable Insulin Now Act,-1,-0.03934159492443248
,-1,-0.0393380057528439
,-1,-0.03924659779201201
Protecting Our Kids Act,-1,-0.039206202990941526
,-1,-0.03919839762729155
,-1,-0.03918725737090997
,-1,-0.03912366187345272
PUMP for Nursing Mothers Act,-1,-0.03910789470980164
,-1,-0.03907453447712673
Workforce Innovation and Opportunity Act of 2022,-1,-0.03906529257547406
,-1,-0.03899290734737618
Joint Consolidation Loan Separation Act,-1,-0.038951370074765415
,-1,-0.038883984865497906
,-1,-0.038847004784416286
South Asian Heart Health Awareness and Research Act,-1,-0.038727680947615174
,-1,-0.038640319913095626
,-1,-0.03855785946925919
,-1,-0.03851309116365372
,-1,-0.03836560356280391
Right to Contraception Act,-1,-0.03825814742356837
,-1,-0.03823177146414214
,-1,-0.03809131069630018
,-1,-0.03802638667095746
,-1,-0.037746335200878806
,-1,-0.03774195325219807
,-1,-0.037669032601488794
,-1,-0.03741827233516658
,-1,-0.03740504679962237
,-1,-0.0367753153665507
,-1,-0.03657821332071197
,-1,-0.03637587105431163
,-1,-0.03634042911229374
,0,-0.036226713109804784
,-1,-0.035856329431377156
,-1,-0.035851875814697565
,-1,-0.03527420858494308
,-1,-0.03512120736276657
,-1,-0.0351066614339563
,-1,-0.03476187687852617
,-1,-0.034509897237016786
,-1,-0.03380872440905056
,-1,-0.03331440816057393
,-1,-0.032001249839039445
,-1,-0.031262085405198814
,0,-0.02953056419555183
,0,-0.029354797807634645
,-1,-0.028946754164744536
,0,-0.02324880545859549
,0,-0.02265205809068841
,0,-0.021100729423063097
