"TRUMP, Donald John",republican,-0.003934557515668513,0.004480526897171266
"ROGERS, Mike Dennis",republican,-0.05245314598627415,0.0428543555662112
"SEWELL, Terri",democrat,0.042593416773779536,0.05961555520438566
"ROBY, Martha",republican,-0.053500060475792706,0.04244618479096923
"BROOKS, Mo",republican,-0.049035228795319824,0.026056947711465234
"BYRNE, Bradley",republican,-0.05586541690330507,0.04081443848601645
"PALMER, Gary James",republican,-0.055114274158771244,0.03751948098510438
"ADERHOLT, Robert",republican,-0.05258284945651135,0.042818092184588416
"YOUNG, Donald Edwin",republican,-0.048707405720461686,0.04152520516741625
"FRANKS, Trent",republican,-0.03310400000375055,0.013011858939861445
"GRIJALVA, Raúl M.",democrat,0.049118557498497806,0.04682947218250598
"GOSAR, Paul",republican,-0.049775261554993164,0.025656286644581635
"SCHWEIKERT, David",republican,-0.05421565035827543,0.03938878437705918
"SINEMA, Kyrsten",democrat,0.02004463046931383,0.051691000858047606
"McSALLY, Martha",republican,-0.050948916546720575,0.039951472639859376
"GALLEGO, Ruben",democrat,0.0456069124876731,0.0582871833904708
"BIGGS, Andrew S.",republican,-0.050228979367927994,0.014971596963944284
"O'HALLERAN, Thomas C.",democrat,0.03277513770421082,0.06317787479594686
"LESKO, Debbie",republican,-0.012624662664359066,0.014655016435225062
"CRAWFORD, Rick",republican,-0.05398610901900065,0.04148446895102432
"WOMACK, Steve",republican,-0.05517298316256573,0.04531012909682078
"HILL, French",republican,-0.05388087021115288,0.04255824010457239
"WESTERMAN, Bruce Eugene",republican,-0.05594748967807979,0.041214861228534336
"PELOSI, Nancy",democrat,0.042810797316755356,0.05459793819548406
"ROHRABACHER, Dana",republican,-0.049524297102976546,0.024305411183609987
"SCHIFF, Adam",democrat,0.04716306978473736,0.06138914194790144
"ISSA, Darrell",republican,-0.05179636114811195,0.03445742078198052
"DAVIS, Susan A.",democrat,0.04412369585537563,0.06267951468429793
"NUNES, Devin",republican,-0.053826780957301354,0.04326808145871039
"SÁNCHEZ, Linda T.",democrat,0.047816551088606406,0.05755044588998498
"COSTA, Jim",democrat,0.02304427741170418,0.0521155345222987
"MATSUI, Doris",democrat,0.04654955115576143,0.0600646637642047
"McNERNEY, Jerry",democrat,0.04457694605690349,0.058205354612702216
"MCCARTHY, Kevin",republican,-0.054754875126735485,0.04327656199641081
"SPEIER, Karen Lorraine Jacqueline (Jackie)",democrat,0.04065458644659058,0.04999932782563113
"McCLINTOCK, Tom",republican,-0.05382655225534216,0.029858847918225673
"CHU, Judy",democrat,0.04713305095665261,0.05656925941117191
"GARAMENDI, John",democrat,0.043369262746824525,0.05862339071496493
"HUNTER, Duncan Duane",republican,-0.05363827832751131,0.03642563656289135
"DENHAM, Jeff",republican,-0.0493857060913212,0.03835506441392899
"BASS, Karen",democrat,0.045687434584474336,0.049204595213641844
"LaMALFA, Doug",republican,-0.05409369373270412,0.040793332266483205
"HUFFMAN, Jared",democrat,0.04490198778421409,0.053161102887041733
"BERA, Ami",democrat,0.040276030846270135,0.06437021218785872
"COOK, Paul",republican,-0.05323087085850399,0.04609581447417308
"SWALWELL, Eric",democrat,0.045796884344623597,0.05243093023392956
"VALADAO, David G.",republican,-0.0512572062387431,0.044257303489262434
"BROWNLEY, Julia",democrat,0.04375800208128841,0.06146977691846093
"CÁRDENAS, Tony",democrat,0.04357736101043817,0.055816547408928475
"RUIZ, Raul",democrat,0.041787182650018705,0.06351411196107726
"TAKANO, Mark",democrat,0.047392026674779014,0.056754510640148165
"LOWENTHAL, Alan",democrat,0.04715292369620273,0.048503376926447614
"VARGAS, Juan",democrat,0.04637766199811609,0.05656995512455476
"PETERS, Scott",democrat,0.036022823635286506,0.062274345432058766
"DESAULNIER, Mark James",democrat,0.048671517466265767,0.053518016476010996
"KNIGHT, Steve",republican,-0.05187778474846966,0.04279282085488108
"AGUILAR, Peter Rey",democrat,0.043101771340292146,0.06292742667796203
"LIEU, Ted",democrat,0.042738526182955976,0.05428463654072698
"TORRES, Norma Judith",democrat,0.04488745899071456,0.06161081118686445
"WALTERS, Mimi",republican,-0.05416559831883896,0.035278845655890824
"BARRAGÁN, Nanette Diaz",democrat,0.04662206632540861,0.05786143324075668
"CARBAJAL, Salud",democrat,0.04202327740027792,0.061970466621383107
"CORREA, Jose Luis",democrat,0.03769004278275141,0.06175949973351974
"KHANNA, Rohit",democrat,0.04885733460518438,0.05479924312576158
"PANETTA, James Varni",democrat,0.04416246287495287,0.06243783140103009
"GOMEZ, Jimmy",democrat,0.03181972553928381,0.04193633348524047
"WATERS, Maxine",democrat,0.04714154071601884,0.05255520123497536
"ESHOO, Anna Georges",democrat,0.044997466923809855,0.055269364215611363
"BECERRA, Xavier",democrat,0.0012390009907922088,0.00020082758298302532
"ROYBAL-ALLARD, Lucille",democrat,0.047209820509713916,0.058595768464489044
"ROYCE, Edward Randall",republican,-0.05355927791908339,0.04252578885946673
"CALVERT, Ken",republican,-0.05412435507333886,0.04554063261782108
"LOFGREN, Zoe",democrat,0.04658600288672336,0.05501737418616477
"SHERMAN, Brad",democrat,0.04452435476808327,0.06094111714638181
"LEE, Barbara",democrat,0.049105857748887934,0.05116650094509638
"THOMPSON, Michael",democrat,0.04610725292221966,0.058213654159878586
"NAPOLITANO, Grace Flores",democrat,0.03934286094341498,0.047617580803286756
"LAMBORN, Doug",republican,-0.05539876117041995,0.03881185872598407
"PERLMUTTER, Ed",democrat,0.04180622851794374,0.060005594814197226
"POLIS, Jared",democrat,0.041798553679789616,0.04223186684969199
